mean_rota_choice_quantity,mean_amount_of_hours,mean_difference_in_rotas,local_fitness,control
2.5,55.0,14.0,0.7857142857142857,False
3.6666666666666665,58.333333333333336,15.333333333333334,0.5238095238095238,False
2.5,58.5,17.0,0.5714285714285714,False
2.6666666666666665,60.666666666666664,10.666666666666666,0.47619047619047616,False
3.0,58.5,15.0,0.6428571428571429,False
4.0,60.666666666666664,10.666666666666666,0.42857142857142855,False
2.3333333333333335,58.333333333333336,12.0,0.7142857142857143,False
2.0,58.0,,0.8571428571428571,False
3.0,65.0,,0.2857142857142857,False
4.0,61.5,11.0,0.5,False
3.3333333333333335,65.0,3.3333333333333335,0.38095238095238093,False
1.0,65.0,6.0,0.35714285714285715,False
2.0,65.0,,0.42857142857142855,False
3.0,58.5,15.0,0.6428571428571429,False
2.0,65.0,12.0,0.42857142857142855,False
3.0,65.0,,0.42857142857142855,False
3.6666666666666665,62.666666666666664,8.0,0.47619047619047616,False
2.0,65.0,2.6666666666666665,0.38095238095238093,False
4.0,65.0,,0.2857142857142857,False
3.5,65.0,4.0,0.42857142857142855,False
4.0,56.0,15.333333333333334,0.6666666666666666,False
3.6666666666666665,56.333333333333336,13.333333333333334,0.7142857142857143,False
2.0,63.6,9.6,0.42857142857142855,False
3.0,60.666666666666664,11.333333333333334,0.5238095238095238,False
3.5,55.0,12.0,0.7857142857142857,False
2.0,60.666666666666664,12.0,0.5238095238095238,False
1.0,61.5,13.0,0.5,False
1.5,61.5,9.0,0.6428571428571429,False
1.0,65.0,,0.5714285714285714,False
2.6666666666666665,65.0,3.3333333333333335,0.38095238095238093,False
1.8888888888888888,57.55555555555556,13.5,0.5714285714285714,False
4.0,60.666666666666664,12.666666666666666,0.4761904761904762,False
2.3333333333333335,58.333333333333336,16.0,0.5238095238095238,False
3.0,62.666666666666664,6.0,0.5238095238095238,False
1.6666666666666667,60.666666666666664,11.333333333333334,0.5238095238095238,False
3.5,52.0,24.0,0.7142857142857143,False
3.5,58.5,17.0,0.5714285714285714,False
3.0,65.0,,0.42857142857142855,False
1.0,58.0,,0.8571428571428571,False
4.0,52.0,,0.8571428571428571,False
2.5,65.0,4.0,0.42857142857142855,False
3.5,61.5,11.0,0.5,False
4.0,52.0,,0.8571428571428571,False
2.8,58.4,14.6,0.5428571428571428,False
2.6666666666666665,60.666666666666664,12.0,0.5238095238095238,False
