mean_RCQ,mean_error_RCQ,mean_WWD,mean_error_WWD,mean_RD,mean_WSP,mean_SQ,mean_error_SQ,skill_diversity,skill_coverage,day_coverage,control
2.8,1.04,5.0,0.0,3.4,0.18461538461538463,0.18461538461538463,0.07384615384615385,0.8181818181818182,9,0.7472527472527473,False
3.5,0.5,4.230769230769231,0.23076923076923084,18.0,0.23076923076923078,0.23076923076923078,0.0,0.8333333333333334,5,0.7032967032967034,False
3.0,0.8,4.7846153846153845,0.2584615384615384,8.4,0.23076923076923078,0.23076923076923078,0.0,0.5833333333333334,14,0.7472527472527473,False
4.0,0.0,4.230769230769231,0.23076923076923084,20.0,0.23076923076923078,0.23076923076923078,0.0,0.6666666666666666,2,0.7142857142857143,False
2.5,0.5,4.0,0.0,20.0,0.23076923076923078,0.23076923076923078,0.0,0.8,4,0.6813186813186813,False
4.0,0.0,4.5,0.5,17.0,0.23076923076923078,0.23076923076923078,0.0,1.0,7,0.7362637362637363,False
2.75,0.75,4.5,0.5,12.0,0.23076923076923078,0.23076923076923078,0.0,0.7142857142857143,5,0.7252747252747253,False
3.0,1.0,5.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.8333333333333334,5,0.7142857142857143,False
2.5,0.5,4.230769230769231,0.23076923076923084,18.0,0.23076923076923078,0.23076923076923078,0.0,1.0,4,0.7032967032967034,False
3.142857142857143,0.7346938775510203,4.846153846153846,0.2197802197802199,7.714285714285714,0.19780219780219782,0.19780219780219782,0.056514913657770796,0.5263157894736842,10,0.7472527472527473,False
3.0,1.2,4.692307692307692,0.36923076923076936,12.8,0.18461538461538463,0.18461538461538463,0.07384615384615385,0.8181818181818182,9,0.7472527472527473,False
3.0,1.0,4.730769230769231,0.26923076923076916,8.666666666666666,0.23076923076923078,0.23076923076923078,0.0,0.9166666666666666,11,0.7472527472527473,False
3.0,0.6666666666666666,4.666666666666667,0.44444444444444436,10.0,0.23076923076923075,0.23076923076923075,2.7755575615628914e-17,0.8333333333333334,5,0.7252747252747253,False
2.5,1.1666666666666667,4.653846153846154,0.3461538461538461,11.533333333333333,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5909090909090909,13,0.7472527472527473,False
3.5,0.5,4.461538461538462,0.0,4.0,0.23076923076923078,0.23076923076923078,0.0,1.0,9,0.6593406593406593,False
3.0,1.2,4.692307692307692,0.36923076923076936,11.8,0.23076923076923078,0.23076923076923078,0.0,0.6666666666666666,10,0.7472527472527473,False
2.5,0.5,5.0,0.0,12.0,0.23076923076923078,0.23076923076923078,0.0,1.0,6,0.7802197802197802,False
3.0,0.0,4.5,0.5,17.0,0.23076923076923078,0.23076923076923078,0.0,0.8333333333333334,5,0.7362637362637363,False
2.7142857142857144,1.1836734693877549,4.78021978021978,0.3139717425431711,8.952380952380953,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.6086956521739131,14,0.7472527472527473,False
2.75,1.25,4.615384615384615,0.3846153846153846,13.333333333333334,0.23076923076923078,0.23076923076923078,0.0,0.8181818181818182,9,0.7472527472527473,False
2.0,1.0,5.0,0.0,4.0,0.23076923076923078,0.23076923076923078,0.0,1.0,7,0.7362637362637363,False
2.875,0.875,4.75,0.375,10.928571428571429,0.23076923076923078,0.23076923076923078,0.0,0.5263157894736842,10,0.7802197802197802,False
4.0,0.0,5.0,0.0,2.0,0.23076923076923078,0.23076923076923078,0.0,1.0,6,0.7252747252747253,False
2.8,1.04,4.892307692307692,0.17230769230769258,5.6,0.23076923076923078,0.23076923076923078,0.0,0.5217391304347826,12,0.7472527472527473,False
2.857142857142857,0.7346938775510203,4.637362637362637,0.4144427001569859,11.428571428571429,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.7692307692307693,10,0.7472527472527473,False
3.4,0.72,4.8,0.3200000000000001,11.4,0.23076923076923078,0.23076923076923078,0.0,0.6666666666666666,8,0.7802197802197802,False
2.7142857142857144,0.8163265306122449,4.714285714285714,0.4081632653061224,11.80952380952381,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5625,9,0.7802197802197802,False
3.0,1.0,4.743589743589744,0.34188034188034183,10.666666666666666,0.19230769230769232,0.19230769230769232,0.0641025641025641,0.6111111111111112,11,0.7472527472527473,False
3.5,0.5,5.0,0.0,2.0,0.23076923076923078,0.23076923076923078,0.0,1.0,6,0.7252747252747253,False
2.7142857142857144,1.1836734693877549,4.703296703296703,0.33908948194662486,10.476190476190476,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5416666666666666,13,0.7472527472527473,False
3.0,1.0,5.0,0.0,2.0,0.23076923076923078,0.23076923076923078,0.0,1.0,6,0.7252747252747253,False
3.0,1.3333333333333333,5.0,0.0,2.6666666666666665,0.23076923076923075,0.23076923076923075,2.7755575615628914e-17,0.6,9,0.7362637362637363,False
3.6666666666666665,0.4444444444444445,4.666666666666667,0.44444444444444436,10.666666666666666,0.23076923076923075,0.23076923076923075,2.7755575615628914e-17,0.8333333333333334,5,0.7252747252747253,False
3.0,0.6666666666666666,4.666666666666667,0.44444444444444436,10.0,0.23076923076923075,0.23076923076923075,2.7755575615628914e-17,0.75,6,0.7252747252747253,False
4.0,0.0,5.0,0.0,,0.23076923076923078,0.23076923076923078,0.0,1.0,2,0.7142857142857143,False
3.5,0.5,5.0,0.0,2.0,0.23076923076923078,0.23076923076923078,0.0,1.0,6,0.7252747252747253,False
