skill_quantity_mean,skill_quantity_mean_error,skill_quantity_min_diff,skill_quantity_max_diff,hours_mean,hours_mean_error,hours_min_diff,hours_max_diff,choices_mean,choices_mean_error,choices_min_diff,choices_max_diff,hamming_mean,hamming_mean_error,hamming_min_diff,hamming_max_diff,weekdays_mean,weekdays_mean_error,weekdays_min_diff,weekdays_max_diff,shared_skill_amount,skill_diversity,control,size,Rank
3.5,1.5,3,3,65.0,0.0,0,0,4.0,0.0,0,0,4.0,0.0,0,0,0.4285714285714285,0.3673469387755101,0.0,1.0,1,0.8571428571428571,False,2,1
3.5,1.5,3,3,65.0,0.0,0,0,4.0,0.0,0,0,4.0,0.0,0,0,0.4285714285714285,0.3673469387755101,0.0,1.0,1,0.8571428571428571,False,2,2
4.5,0.5,1,1,65.0,0.0,0,0,4.0,0.0,0,0,4.0,0.0,0,0,0.4285714285714285,0.3673469387755101,0.0,1.0,2,0.7777777777777778,False,2,3
4.5,0.5,1,1,65.0,0.0,0,0,4.0,0.0,0,0,4.0,0.0,0,0,0.4285714285714285,0.3673469387755101,0.0,1.0,2,0.7777777777777778,False,2,4
2.0,0.0,0,0,61.5,3.5,7,7,4.0,0.0,0,0,11.0,0.0,0,0,0.5714285714285714,0.2448979591836734,0.0,1.0,0,1.0,False,2,5
2.0,0.0,0,0,61.5,3.5,7,7,4.0,0.0,0,0,11.0,0.0,0,0,0.5714285714285714,0.2448979591836734,0.0,1.0,0,1.0,False,2,6
3.0,1.3333333333333333,0,3,60.66666666666666,5.777777777777779,0,13,4.0,0.0,0,0,11.333333333333334,6.222222222222221,2,15,0.5238095238095238,0.3129251700680271,0.0,1.0,0,0.6666666666666666,False,3,7
3.0,1.3333333333333333,0,3,60.66666666666666,5.777777777777779,0,13,4.0,0.0,0,0,11.333333333333334,6.222222222222221,2,15,0.5238095238095238,0.3129251700680271,0.0,1.0,0,0.6666666666666666,False,3,8
4.0,1.3333333333333333,0,3,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,1.777777777777778,0,4,0.3809523809523809,0.3537414965986394,0.0,1.0,1,0.75,False,3,9
4.0,1.3333333333333333,0,3,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,1.777777777777778,0,4,0.3809523809523809,0.3537414965986394,0.0,1.0,1,0.75,False,3,10
3.6666666666666665,1.1111111111111112,1,3,65.0,0.0,0,0,3.6666666666666665,0.4444444444444445,0,1,3.333333333333333,0.8888888888888888,0,2,0.3809523809523809,0.3537414965986394,0.0,1.0,1,0.7272727272727273,False,3,11
3.333333333333333,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,5.333333333333333,0.888888888888889,0,2,0.3333333333333333,0.2857142857142857,0.0,1.0,0,0.7,False,3,12
3.333333333333333,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,5.333333333333333,0.888888888888889,0,2,0.3333333333333333,0.2857142857142857,0.0,1.0,0,0.7,False,3,13
3.6666666666666665,1.1111111111111112,1,3,62.66666666666666,3.111111111111112,0,7,4.0,0.0,0,0,9.333333333333334,3.555555555555556,2,9,0.4761904761904761,0.2585034013605442,0.0,1.0,0,0.8181818181818182,False,3,14
3.6666666666666665,1.1111111111111112,1,3,62.66666666666666,3.111111111111112,0,7,4.0,0.0,0,0,9.333333333333334,3.555555555555556,2,9,0.4761904761904761,0.2585034013605442,0.0,1.0,0,0.8181818181818182,False,3,15
4.333333333333333,0.4444444444444443,0,1,65.0,0.0,0,0,4.0,0.0,0,0,3.333333333333333,0.8888888888888888,0,2,0.3809523809523809,0.3537414965986394,0.0,1.0,1,0.6153846153846154,False,3,16
4.333333333333333,0.4444444444444443,0,1,65.0,0.0,0,0,4.0,0.0,0,0,3.333333333333333,0.8888888888888888,0,2,0.3809523809523809,0.3537414965986394,0.0,1.0,1,0.6153846153846154,False,3,17
4.0,0.6666666666666666,1,2,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,1.777777777777778,0,4,0.4761904761904761,0.4081632653061224,0.0,1.0,0,0.6666666666666666,False,3,18
4.0,0.6666666666666666,1,2,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,1.777777777777778,0,4,0.4761904761904761,0.4081632653061224,0.0,1.0,0,0.6666666666666666,False,3,19
4.0,0.5,0,2,60.0,5.0,0,13,3.75,0.375,0,1,13.0,4.333333333333333,0,16,0.4642857142857143,0.2551020408163265,0.0,1.0,0,0.625,False,4,20
4.0,0.5,0,2,60.0,5.0,0,13,3.75,0.375,0,1,13.0,4.333333333333333,0,16,0.4642857142857143,0.2551020408163265,0.0,1.0,0,0.625,False,4,21
3.25,1.25,0,3,60.0,5.0,0,13,3.75,0.375,0,1,12.666666666666666,4.111111111111112,1,16,0.4642857142857143,0.2551020408163265,0.0,1.0,0,0.6153846153846154,False,4,22
3.25,1.25,0,3,60.0,5.0,0,13,3.75,0.375,0,1,12.666666666666666,4.111111111111112,1,16,0.4642857142857143,0.2551020408163265,0.0,1.0,0,0.6153846153846154,False,4,23
3.0,1.0,0,2,63.25,2.625,0,7,3.5,0.5,0,1,7.833333333333333,5.166666666666667,0,11,0.4285714285714285,0.2755102040816327,0.0,1.0,1,0.6666666666666666,False,4,24
3.0,1.0,0,2,63.25,2.625,0,7,3.5,0.5,0,1,7.833333333333333,5.166666666666667,0,11,0.4285714285714285,0.2755102040816327,0.0,1.0,1,0.6666666666666666,False,4,25
