mean_rota_choice_quantity,mean_weekly_working_days,mean_difference_in_rotas,local_fitness,control,Faulty
3.0,4.78021978021978,8.380952380952381,0.4285714285714285,False,True
3.0,4.5,15.0,0.5714285714285714,False,True
2.0,4.615384615384615,15.0,0.4285714285714285,False,True
2.25,4.730769230769231,9.666666666666666,0.4642857142857143,False,True
4.0,4.461538461538462,,0.8571428571428571,False,True
4.0,4.5,19.0,0.5,False,True
4.0,4.461538461538462,,0.7142857142857143,False,True
2.5,5.0,0.0,0.4285714285714285,False,True
2.8,4.784615384615384,8.8,0.4285714285714285,False,True
3.1666666666666665,4.82051282051282,7.466666666666667,0.4523809523809524,False,True
3.5,4.5,15.0,0.5714285714285714,False,True
3.2,4.692307692307692,10.4,0.4285714285714285,False,True
3.0,4.730769230769231,13.0,0.5,False,True
2.2,4.492307692307692,16.2,0.4857142857142857,False,True
2.5,5.0,4.0,0.4285714285714285,False,True
2.75,4.865384615384615,6.833333333333333,0.4642857142857143,False,True
3.6666666666666665,4.153846153846154,23.33333333333333,0.5714285714285714,False,True
2.6,4.692307692307692,12.8,0.3999999999999999,False,True
3.6666666666666665,4.82051282051282,8.666666666666666,0.3809523809523809,False,True
3.5,4.865384615384615,8.5,0.3571428571428571,False,True
2.0,4.480769230769231,14.166666666666666,0.6071428571428571,False,True
2.75,4.596153846153847,8.5,0.6428571428571429,False,True
3.0,4.0,,0.8571428571428571,False,True
3.2,4.692307692307692,11.0,0.3999999999999999,False,True
3.5,4.230769230769231,20.0,0.6428571428571429,False,True
2.6,4.784615384615384,9.0,0.4285714285714285,False,True
3.5,4.730769230769231,13.0,0.5,False,True
3.5,4.730769230769231,9.0,0.5714285714285714,False,True
2.5,5.0,7.333333333333333,0.3571428571428571,False,True
2.5,5.0,4.0,0.4285714285714285,False,True
3.1666666666666665,4.576923076923077,13.0,0.4047619047619047,False,True
3.0,4.82051282051282,8.666666666666666,0.4285714285714285,False,True
1.8,4.676923076923077,10.0,0.4857142857142857,False,True
2.833333333333333,4.743589743589744,10.533333333333331,0.4285714285714285,False,True
3.0,4.487179487179487,16.0,0.4761904761904761,False,True
3.0,4.666666666666667,11.333333333333334,0.4761904761904761,False,True
4.0,4.730769230769231,13.0,0.4285714285714285,False,True
3.6666666666666665,4.487179487179487,15.333333333333334,0.5238095238095238,False,True
3.5,4.730769230769231,9.0,0.6428571428571429,False,True
3.5,4.230769230769231,24.0,0.5714285714285714,False,True
3.0,4.641025641025641,10.666666666666666,0.5238095238095238,False,True
2.6666666666666665,4.666666666666667,12.0,0.4761904761904761,False,True
2.333333333333333,5.0,8.666666666666666,0.3809523809523809,False,True
3.5,4.730769230769231,9.0,0.5714285714285714,False,True
3.5,4.5,17.0,0.5714285714285714,False,True
4.0,5.0,0.0,0.4285714285714285,False,True
2.5,4.0,24.0,0.7142857142857143,False,True
3.0,5.0,0.0,0.4285714285714285,False,True
3.5,5.0,3.333333333333333,0.3571428571428571,False,True
3.0,4.730769230769231,13.0,0.5,False,True
2.5,4.461538461538462,14.0,0.6428571428571429,False,True
2.25,4.798076923076923,7.607142857142857,0.4464285714285714,False,True
3.2,4.892307692307692,6.4,0.3999999999999999,False,True
3.333333333333333,4.487179487179487,14.666666666666666,0.5714285714285714,False,True
2.8,4.892307692307692,6.4,0.3999999999999999,False,True
2.4285714285714284,4.769230769230768,7.809523809523809,0.4897959183673469,False,True
3.0,4.865384615384615,7.5,0.3928571428571428,False,True
3.0,4.730769230769231,8.0,0.5714285714285714,False,True
4.0,5.0,2.0,0.3571428571428571,False,True
2.6666666666666665,4.730769230769231,7.666666666666667,0.5476190476190477,False,True
3.0,5.0,,0.4285714285714285,False,True
3.6666666666666665,4.487179487179487,16.0,0.5238095238095238,False,True
2.6,4.692307692307692,11.0,0.4857142857142857,False,True
3.0,4.730769230769231,11.0,0.5714285714285714,False,True
2.0,4.82051282051282,8.666666666666666,0.4761904761904761,False,True
2.625,4.740384615384615,9.964285714285714,0.4464285714285714,False,True
3.0,4.91025641025641,5.266666666666667,0.4285714285714285,False,True
2.875,4.865384615384615,6.428571428571429,0.4464285714285714,False,True
3.25,4.75,8.833333333333334,0.4642857142857143,False,True
2.0,4.676923076923077,10.0,0.4857142857142857,False,True
3.6666666666666665,4.641025641025641,10.0,0.5714285714285714,False,True
2.0,4.0,,0.8571428571428571,False,True
3.333333333333333,5.0,4.0,0.3809523809523809,False,True
3.1666666666666665,4.653846153846154,11.133333333333333,0.5,False,True
2.0,5.0,12.0,0.4285714285714285,False,True
3.0,5.0,,0.4285714285714285,False,True
3.333333333333333,4.666666666666667,12.666666666666666,0.4761904761904761,False,True
2.333333333333333,4.641025641025641,12.0,0.4761904761904762,False,True
3.0,4.5,15.0,0.5,False,True
2.125,4.730769230769231,8.071428571428571,0.5,False,True
3.6,4.692307692307692,11.2,0.4571428571428571,False,True
3.0,5.0,6.0,0.2857142857142857,False,True
3.333333333333333,4.666666666666667,10.0,0.5238095238095238,False,True
2.333333333333333,4.82051282051282,8.266666666666667,0.4047619047619047,False,True
4.0,5.0,,0.5714285714285714,False,True
2.0,4.230769230769231,14.0,0.7857142857142857,False,True
4.0,5.0,6.0,0.2857142857142857,False,True
3.6666666666666665,5.0,1.3333333333333333,0.3333333333333333,False,True
3.0,4.615384615384615,12.666666666666666,0.4285714285714285,False,True
2.5,4.615384615384615,12.333333333333334,0.4642857142857143,False,True
3.0,4.641025641025641,12.0,0.5238095238095238,False,True
3.5,5.0,4.0,0.3571428571428571,False,True
