mean_rota_choice_quantity,mean_weekly_working_days,mean_difference_in_rotas,local_fitness,working_saturday_proportion,coverage,control,Faulty
2.8,5.0,3.4,0.12,0.1846153846153846,0.7472527472527473,False,True
3.5,4.230769230769231,18.0,0.0714285714285714,0.2307692307692307,0.7032967032967034,False,True
3.0,4.7846153846153845,8.4,0.1542857142857143,0.2307692307692307,0.7472527472527473,False,True
4.0,4.230769230769231,20.0,0.1071428571428571,0.2307692307692307,0.7142857142857143,False,True
2.5,4.0,20.0,0.0,0.2307692307692307,0.6813186813186813,False,True
4.0,4.5,17.0,0.1428571428571428,0.2307692307692307,0.7362637362637363,False,True
2.75,4.5,12.0,0.1071428571428571,0.2307692307692307,0.7252747252747253,False,True
3.0,5.0,0.0,0.0,0.2307692307692307,0.7142857142857143,False,True
2.5,4.230769230769231,18.0,0.1071428571428571,0.2307692307692307,0.7032967032967034,False,True
3.142857142857143,4.846153846153846,7.714285714285714,0.0991253644314868,0.1978021978021978,0.7472527472527473,False,True
3.0,4.692307692307692,12.8,0.08,0.1846153846153846,0.7472527472527473,False,True
3.0,4.730769230769231,8.666666666666666,0.2410714285714285,0.2307692307692307,0.7472527472527473,False,True
3.0,4.666666666666667,10.0,0.0634920634920634,0.2307692307692307,0.7252747252747253,False,True
2.5,4.653846153846154,11.533333333333331,0.1349206349206349,0.2307692307692308,0.7472527472527473,False,True
3.5,4.461538461538462,4.0,0.0357142857142857,0.2307692307692307,0.6593406593406593,False,True
3.0,4.692307692307692,11.8,0.1085714285714285,0.2307692307692307,0.7472527472527473,False,True
2.5,5.0,12.0,0.1428571428571428,0.2307692307692307,0.7802197802197802,False,True
3.0,4.5,17.0,0.1428571428571428,0.2307692307692307,0.7362637362637363,False,True
2.7142857142857144,4.78021978021978,8.952380952380953,0.1253644314868804,0.2307692307692308,0.7472527472527473,False,True
2.75,4.615384615384615,13.333333333333334,0.1696428571428571,0.2307692307692307,0.7472527472527473,False,True
2.0,5.0,4.0,0.0357142857142857,0.2307692307692307,0.7362637362637363,False,True
2.875,4.75,10.928571428571429,0.1629464285714285,0.2307692307692307,0.7802197802197802,False,True
4.0,5.0,2.0,0.0357142857142857,0.2307692307692307,0.7252747252747253,False,True
2.8,4.892307692307692,5.6,0.1257142857142857,0.2307692307692307,0.7472527472527473,False,True
2.857142857142857,4.637362637362637,11.428571428571429,0.19533527696793,0.2307692307692308,0.7472527472527473,False,True
3.4,4.8,11.4,0.1314285714285714,0.2307692307692307,0.7802197802197802,False,True
2.7142857142857144,4.714285714285714,11.80952380952381,0.1865889212827988,0.2307692307692308,0.7802197802197802,False,True
3.0,4.743589743589744,10.666666666666666,0.123015873015873,0.1923076923076923,0.7472527472527473,False,True
3.5,5.0,2.0,0.0357142857142857,0.2307692307692307,0.7252747252747253,False,True
2.7142857142857144,4.703296703296703,10.476190476190476,0.119533527696793,0.2307692307692308,0.7472527472527473,False,True
3.0,5.0,2.0,0.0357142857142857,0.2307692307692307,0.7252747252747253,False,True
3.0,5.0,2.6666666666666665,0.0317460317460317,0.2307692307692307,0.7362637362637363,False,True
3.6666666666666665,4.666666666666667,10.666666666666666,0.0634920634920634,0.2307692307692307,0.7252747252747253,False,True
3.0,4.666666666666667,10.0,0.0952380952380952,0.2307692307692307,0.7252747252747253,False,True
4.0,5.0,,0.0,0.2307692307692307,0.7142857142857143,False,True
3.5,5.0,2.0,0.0357142857142857,0.2307692307692307,0.7252747252747253,False,True
2.833333333333333,4.91025641025641,7.0,0.0634920634920635,0.1923076923076923,0.7472527472527473,False,True
3.5,5.0,2.0,0.0357142857142857,0.2307692307692307,0.7252747252747253,False,True
3.5,5.0,4.0,0.0714285714285714,0.2307692307692307,0.7362637362637363,False,True
3.1666666666666665,4.666666666666667,10.133333333333333,0.246031746031746,0.2307692307692308,0.7472527472527473,False,True
4.0,4.5,13.0,0.1428571428571428,0.2307692307692307,0.7142857142857143,False,True
2.833333333333333,4.666666666666667,13.066666666666666,0.2103174603174603,0.2307692307692308,0.7802197802197802,False,True
2.6,4.584615384615384,13.2,0.1542857142857143,0.2307692307692307,0.7472527472527473,False,True
3.25,4.75,10.833333333333334,0.1428571428571428,0.173076923076923,0.7472527472527473,False,True
4.0,4.730769230769231,11.0,0.1071428571428571,0.2307692307692307,0.7362637362637363,False,True
2.6666666666666665,4.641025641025641,10.0,0.2698412698412698,0.2307692307692307,0.7472527472527473,False,True
3.0,4.461538461538462,4.0,0.0357142857142857,0.2307692307692307,0.6593406593406593,False,True
2.833333333333333,4.833333333333333,9.8,0.1468253968253968,0.2307692307692308,0.7802197802197802,False,True
2.875,4.75,8.571428571428571,0.1919642857142857,0.2307692307692307,0.7472527472527473,False,True
3.6666666666666665,4.487179487179487,16.0,0.2222222222222222,0.2307692307692307,0.7472527472527473,False,True
3.0,4.730769230769231,9.666666666666666,0.1517857142857142,0.2307692307692307,0.7472527472527473,False,True
3.0,5.0,1.3333333333333333,0.0634920634920634,0.2307692307692307,0.7252747252747253,False,True
4.0,5.0,,0.0,0.2307692307692307,0.7142857142857143,False,True
3.0,4.91025641025641,6.866666666666666,0.0595238095238095,0.1538461538461538,0.7472527472527473,False,True
2.857142857142857,4.857142857142857,8.952380952380953,0.1282798833819242,0.2307692307692308,0.7802197802197802,False,True
3.333333333333333,5.0,4.0,0.1269841269841269,0.1538461538461538,0.7472527472527473,False,True
2.333333333333333,4.769230769230769,9.61111111111111,0.0881834215167548,0.2051282051282051,0.7472527472527473,False,True
