skill_quantity_mean,skill_quantity_mean_error,skill_quantity_min_diff,skill_quantity_max_diff,hours_mean,hours_mean_error,hours_min_diff,hours_max_diff,choices_mean,choices_mean_error,choices_min_diff,choices_max_diff,hamming_mean,hamming_mean_error,hamming_min_diff,hamming_max_diff,weekdays_mean,weekdays_mean_error,weekdays_min_diff,weekdays_max_diff,shared_skill_amount,skill_diversity,control,size
2.5,1.25,0,4,60.0,5.0,0,13,3.25,1.125,0,3,10.666666666666666,4.0,0,11,0.6071428571428571,0.2653061224489796,0.0,1.0,0,0.8,True,4
2.0,0.0,0,0,62.666666666666664,3.111111111111112,0,7,2.3333333333333335,1.1111111111111112,1,3,8.666666666666666,3.111111111111111,4,9,0.42857142857142855,0.29931972789115646,0.0,1.0,0,0.6666666666666666,True,3
1.5,0.5,0,1,60.0,5.0,0,13,2.25,0.375,0,1,11.333333333333334,4.666666666666667,0,15,0.5714285714285714,0.24489795918367346,0.0,1.0,0,1.0,True,4
3.5,1.5,3,3,55.0,3.0,6,6,3.5,0.5,1,1,22.0,0.0,0,0,0.6428571428571429,0.30612244897959184,0.0,1.0,1,0.8571428571428571,True,2
2.5,1.5,0,3,61.75,4.875,0,13,3.75,0.375,0,1,10.166666666666666,8.833333333333334,0,19,0.42857142857142855,0.2755102040816327,0.0,1.0,0,0.9,True,4
2.7142857142857144,1.4693877551020407,0,4,62.142857142857146,4.081632653061223,0,13,2.5714285714285716,1.2244897959183674,0,3,8.476190476190476,6.54875283446712,0,20,0.40816326530612246,0.3032069970845481,0.0,1.0,0,0.6842105263157895,True,7
2.75,1.25,0,3,63.25,2.625,0,7,3.5,0.5,0,1,7.166666666666667,4.5,0,11,0.42857142857142855,0.2959183673469387,0.0,1.0,0,0.9090909090909091,True,4
3.3333333333333335,1.1111111111111112,1,3,56.333333333333336,5.777777777777779,0,13,2.6666666666666665,1.1111111111111112,1,3,11.333333333333334,7.5555555555555545,0,17,0.6666666666666666,0.1904761904761905,0.0,1.0,0,1.0,True,3
1.75,1.125,0,3,63.25,2.625,0,7,2.0,1.0,0,3,11.5,3.3333333333333335,0,15,0.39285714285714285,0.2346938775510204,0.0,1.0,0,1.0,True,4
3.0,1.4285714285714286,0,4,62.142857142857146,4.081632653061223,0,13,2.857142857142857,1.3061224489795917,0,3,8.761904761904763,5.678004535147393,0,22,0.4081632653061224,0.30320699708454807,0.0,1.0,0,0.5714285714285714,True,7
2.6666666666666665,0.8888888888888888,0,2,62.666666666666664,3.111111111111112,0,7,1.6666666666666667,0.888888888888889,0,2,8.666666666666666,3.111111111111111,4,9,0.4761904761904762,0.2585034013605442,0.0,1.0,0,1.0,True,3
2.0,0.6666666666666666,1,2,62.666666666666664,3.111111111111112,0,7,3.3333333333333335,0.8888888888888888,0,2,8.666666666666666,3.111111111111111,0,7,0.4761904761904762,0.2585034013605442,0.0,1.0,0,0.8333333333333334,True,3
2.5,1.25,0,4,61.75,4.875,0,13,2.0,0.5,0,2,8.833333333333334,6.166666666666668,0,15,0.5,0.35714285714285715,0.0,1.0,0,0.8,True,4
1.3333333333333333,0.4444444444444444,0,1,58.333333333333336,4.4444444444444455,6,13,2.3333333333333335,1.1111111111111112,1,3,13.333333333333334,2.888888888888889,1,7,0.6666666666666666,0.2857142857142857,0.0,1.0,0,1.0,True,3
3.25,1.125,0,3,58.5,6.5,0,13,2.5,1.5,0,3,15.0,3.6666666666666665,0,18,0.5,0.2857142857142857,0.0,1.0,0,0.6923076923076923,True,4
2.75,1.75,0,4,55.25,4.875,0,13,2.0,0.5,0,2,16.166666666666668,5.777777777777778,0,22,0.6428571428571429,0.2959183673469387,0.0,1.0,0,0.9090909090909091,True,4
3.0,2.0,0,4,60.0,5.0,0,13,2.75,1.25,0,3,13.666666666666666,6.333333333333333,0,20,0.5,0.2857142857142857,0.0,1.0,0,0.8333333333333334,True,4
2.2,0.7200000000000001,0,3,61.0,4.8,0,13,2.8,1.44,0,3,12.4,4.92,0,20,0.39999999999999997,0.2857142857142857,0.0,1.0,0,0.7272727272727273,True,5
1.75,0.375,0,1,58.5,6.5,0,13,2.5,1.5,0,3,13.0,5.333333333333333,0,15,0.5714285714285714,0.22448979591836735,0.0,1.0,0,0.7142857142857143,True,4
2.6666666666666665,0.8888888888888888,0,2,56.333333333333336,5.777777777777779,0,13,3.6666666666666665,0.4444444444444445,0,1,14.0,1.3333333333333333,0,3,0.7142857142857143,0.2448979591836735,0.0,1.0,0,0.75,True,3
4.0,1.0,0,3,61.75,4.875,0,13,3.5,0.5,0,1,7.833333333333333,6.5,0,15,0.4642857142857143,0.3163265306122449,0.0,1.0,0,0.75,True,4
3.25,1.25,1,4,65.0,0.0,0,0,2.5,1.0,1,3,2.6666666666666665,0.8888888888888887,0,2,0.35714285714285715,0.3673469387755102,0.0,1.0,0,0.6923076923076923,True,4
3.25,1.25,1,4,55.25,4.875,0,13,2.0,1.0,0,3,13.166666666666666,4.111111111111112,0,15,0.7142857142857143,0.2040816326530612,0.0,1.0,0,0.8461538461538461,True,4
3.4285714285714284,1.1020408163265305,0,4,59.42857142857143,6.36734693877551,0,13,3.5714285714285716,0.6122448979591836,0,2,12.761904761904763,5.768707482993198,0,22,0.48979591836734687,0.27405247813411077,0.0,1.0,0,0.5,True,7
2.5,0.5,0,1,61.5,3.5,0,7,3.5,0.75,0,2,10.333333333333334,2.3333333333333335,0,8,0.42857142857142855,0.22448979591836735,0.0,1.0,0,0.9,True,4
3.5,1.0,1,3,61.5,3.5,0,7,3.25,0.75,0,2,6.666666666666667,3.111111111111111,0,9,0.6071428571428571,0.336734693877551,0.0,1.0,0,0.7142857142857143,True,4
3.5,0.5,1,1,52.0,0.0,0,0,3.0,0.0,0,0,12.0,0.0,0,0,0.8571428571428571,0.2448979591836735,0.0,1.0,0,1.0,True,2
3.5,1.5,0,4,61.75,4.875,0,13,3.25,1.125,0,3,9.833333333333334,5.833333333333333,0,15,0.39285714285714285,0.30612244897959184,0.0,1.0,0,0.7142857142857143,True,4
2.0,1.0,0,3,58.5,6.5,0,13,3.0,0.5,0,2,12.0,5.333333333333333,0,13,0.5,0.2857142857142857,0.0,1.0,0,1.0,True,4
2.5,1.0,1,3,56.75,4.75,0,13,3.25,0.75,0,2,13.166666666666666,1.777777777777778,0,6,0.7142857142857143,0.2653061224489796,0.0,1.0,0,0.8,True,4
3.25,0.75,0,2,61.75,4.875,0,13,1.5,0.75,0,2,8.833333333333334,6.166666666666667,0,15,0.4642857142857143,0.3163265306122449,0.0,1.0,0,0.7692307692307693,True,4
2.2,0.64,0,2,59.6,4.32,0,13,2.6,0.8800000000000001,0,3,11.6,4.4,0,20,0.5142857142857143,0.3020408163265306,0.0,1.0,0,0.8181818181818182,True,5
2.6,1.1199999999999999,0,3,58.4,5.279999999999999,0,13,3.0,0.4,0,2,15.4,4.12,0,20,0.45714285714285713,0.19591836734693874,0.0,1.0,0,0.7692307692307693,True,5
3.5,1.0,1,3,60.0,5.0,0,13,2.5,1.5,0,3,13.666666666666666,4.333333333333333,0,20,0.42857142857142855,0.2755102040816327,0.0,1.0,0,0.7142857142857143,True,4
2.25,0.875,0,3,53.5,2.25,0,6,3.25,0.75,0,2,20.333333333333332,3.0,0,14,0.6785714285714286,0.24489795918367346,0.0,1.0,0,0.8888888888888888,True,4
3.3333333333333335,1.5555555555555554,1,4,56.333333333333336,5.777777777777779,0,13,3.6666666666666665,0.4444444444444445,0,1,14.666666666666666,1.1111111111111114,1,3,0.7142857142857143,0.2448979591836735,0.0,1.0,0,0.8,True,3
3.75,0.75,0,2,60.0,5.0,0,13,4.0,0.0,0,0,13.333333333333334,4.666666666666667,2,20,0.42857142857142855,0.2755102040816327,0.0,1.0,0,0.6666666666666666,True,4
3.25,1.25,1,4,61.5,3.5,0,7,3.5,0.75,0,2,9.333333333333334,2.4444444444444446,0,9,0.5,0.2857142857142857,0.0,1.0,0,0.7692307692307693,True,4
1.25,0.375,0,1,58.5,6.5,0,13,2.25,0.875,0,3,11.0,5.333333333333333,0,13,0.6071428571428571,0.2653061224489796,0.0,1.0,0,1.0,True,4
2.2,1.04,0,3,61.0,4.8,0,13,2.6,0.8800000000000001,0,3,11.4,5.32,0,20,0.42857142857142855,0.3183673469387755,0.0,1.0,0,0.8181818181818182,True,5
3.0,0.5,0,2,61.75,4.875,0,13,3.0,1.0,0,3,8.833333333333334,6.166666666666667,0,15,0.5,0.35714285714285715,0.0,1.0,0,0.8333333333333334,True,4
2.6666666666666665,0.8888888888888888,0,2,56.333333333333336,5.777777777777779,0,13,3.6666666666666665,0.4444444444444445,0,1,12.666666666666666,3.111111111111111,0,7,0.7142857142857143,0.2448979591836735,0.0,1.0,0,0.875,True,3
1.5,0.5,0,1,61.5,3.5,0,7,2.25,1.25,0,3,8.666666666666666,3.111111111111112,0,9,0.5357142857142857,0.25510204081632654,0.0,1.0,0,0.8333333333333334,True,4
3.25,0.75,0,2,61.75,4.875,0,13,2.75,1.25,0,3,7.5,7.5,0,15,0.4642857142857143,0.38775510204081637,0.0,1.0,0,0.6923076923076923,True,4
4.333333333333333,0.44444444444444436,0,1,60.666666666666664,5.777777777777779,0,13,1.0,0.0,0,0,13.333333333333334,4.888888888888888,0,11,0.4761904761904762,0.2585034013605442,0.0,1.0,0,0.8461538461538461,True,3
2.75,0.875,0,3,61.5,3.5,0,7,3.0,1.0,0,3,8.0,4.0,0,11,0.5357142857142857,0.2653061224489796,0.0,1.0,0,0.6363636363636364,True,4
2.75,1.25,0,3,55.0,3.0,0,6,3.0,0.5,0,2,21.0,5.666666666666667,0,22,0.5357142857142857,0.25510204081632654,0.0,1.0,0,0.5454545454545454,True,4
2.75,0.75,0,2,61.75,4.875,0,13,3.25,0.375,0,1,9.833333333333334,5.833333333333333,2,17,0.42857142857142855,0.2755102040816327,0.0,1.0,0,0.6363636363636364,True,4
2.25,1.25,0,3,61.75,4.875,0,13,3.25,0.75,0,2,8.833333333333334,6.166666666666667,0,15,0.4642857142857143,0.3163265306122449,0.0,1.0,0,0.6666666666666666,True,4
1.5,0.75,0,2,58.5,6.5,0,13,2.25,0.375,0,1,11.333333333333334,6.222222222222221,0,17,0.6071428571428571,0.2653061224489796,0.0,1.0,0,1.0,True,4
2.75,0.75,0,2,63.25,2.625,0,7,3.25,1.125,0,3,7.166666666666667,5.166666666666667,0,11,0.39285714285714285,0.2755102040816326,0.0,1.0,0,0.8181818181818182,True,4
3.75,0.375,0,1,65.0,0.0,0,0,2.5,0.75,0,2,2.3333333333333335,1.1111111111111114,0,4,0.35714285714285715,0.40816326530612246,0.0,1.0,0,0.6666666666666666,True,4
1.5,0.5,1,1,61.5,3.5,7,7,2.5,1.5,3,3,11.0,0.0,0,0,0.5714285714285714,0.24489795918367346,0.0,1.0,0,1.0,True,2
3.5,1.0,1,3,56.75,4.75,0,13,4.0,0.0,0,0,16.5,4.333333333333333,0,14,0.5714285714285714,0.22448979591836735,0.0,1.0,0,0.5714285714285714,True,4
1.5,0.5,1,1,52.0,0.0,0,0,2.5,0.5,1,1,18.0,0.0,0,0,0.7857142857142857,0.30612244897959184,0.0,1.0,1,0.6666666666666666,True,2
3.75,0.875,0,3,63.25,2.625,0,7,3.75,0.375,0,1,7.166666666666667,5.833333333333333,0,13,0.42857142857142855,0.2755102040816327,0.0,1.0,0,0.7333333333333333,True,4
2.4,1.28,0,3,58.4,5.279999999999999,0,13,3.8,0.3200000000000001,0,1,15.6,5.48,0,24,0.5142857142857143,0.2448979591836735,0.0,1.0,0,1.0,True,5
3.75,0.875,0,3,56.75,4.75,0,13,2.5,1.5,0,3,17.5,3.6666666666666665,0,11,0.5,0.21428571428571427,0.0,1.0,0,0.6666666666666666,True,4
3.25,0.75,0,2,61.75,4.875,0,13,2.0,1.0,0,3,13.166666666666666,4.5555555555555545,0,23,0.39285714285714285,0.2755102040816326,0.0,1.0,0,0.7692307692307693,True,4
4.0,0.5,0,2,58.5,6.5,0,13,3.0,1.0,0,3,12.666666666666666,3.111111111111112,0,11,0.6071428571428571,0.2653061224489796,0.0,1.0,0,0.6875,True,4
3.25,1.25,1,4,59.75,2.625,0,7,3.5,0.75,0,2,11.166666666666666,2.1666666666666665,0,8,0.5714285714285714,0.2755102040816327,0.0,1.0,0,0.7692307692307693,True,4
2.4285714285714284,1.469387755102041,0,4,61.142857142857146,4.408163265306122,0,13,3.0,0.8571428571428571,0,3,10.666666666666666,5.523809523809525,0,24,0.42857142857142855,0.2857142857142857,0.0,1.0,0,0.6470588235294118,True,7
4.0,0.5,0,2,61.75,4.875,0,13,3.25,1.125,0,3,10.166666666666666,6.166666666666667,0,19,0.4642857142857143,0.3163265306122449,0.0,1.0,0,0.8125,True,4
2.75,1.25,1,4,58.25,3.375,0,13,3.0,1.0,0,2,18.166666666666668,4.722222222222221,0,21,0.5357142857142857,0.25510204081632654,0.0,1.0,0,0.8181818181818182,True,4
2.25,0.875,0,3,60.0,5.0,0,13,2.25,1.25,0,3,12.333333333333334,3.6666666666666665,0,14,0.4642857142857143,0.25510204081632654,0.0,1.0,0,0.7777777777777778,True,4
3.0,0.6666666666666666,1,2,58.333333333333336,4.4444444444444455,6,13,3.0,1.3333333333333333,0,3,16.0,2.6666666666666665,2,7,0.5238095238095238,0.25850340136054417,0.0,1.0,0,0.7777777777777778,True,3
2.75,1.125,0,3,61.5,3.5,0,7,1.75,1.125,0,3,10.666666666666666,3.111111111111111,0,7,0.4642857142857143,0.19387755102040818,0.0,1.0,0,0.8181818181818182,True,4
1.5,0.5,0,1,60.0,5.0,0,13,1.75,0.75,0,2,14.0,3.3333333333333335,0,13,0.42857142857142855,0.22448979591836735,0.0,1.0,0,0.8333333333333334,True,4
2.0,0.5,0,2,58.5,6.5,0,13,1.75,1.125,0,3,17.333333333333332,4.444444444444444,0,13,0.5714285714285714,0.22448979591836735,0.0,1.0,0,0.875,True,4
2.5,0.5,0,1,61.5,3.5,0,7,3.5,0.5,0,1,9.0,4.0,0,11,0.4642857142857143,0.25510204081632654,0.0,1.0,0,0.8,True,4
4.0,1.0,0,3,55.25,4.875,0,13,3.0,1.0,0,3,16.5,5.166666666666667,0,20,0.5714285714285714,0.2755102040816327,0.0,1.0,0,0.8125,True,4
4.0,0.5,0,2,61.75,4.875,0,13,3.5,0.5,0,1,8.833333333333334,6.166666666666667,0,15,0.5,0.35714285714285715,0.0,1.0,0,0.75,True,4
3.857142857142857,0.7755102040816327,0,3,57.42857142857143,4.653061224489796,0,13,3.5714285714285716,0.6122448979591836,0,2,14.666666666666666,5.269841269841271,0,24,0.4897959183673469,0.2740524781341108,0.0,1.0,0,0.48148148148148145,True,7
2.25,0.875,0,3,58.5,6.5,0,13,2.25,1.25,0,3,14.333333333333334,4.555555555555556,0,22,0.5,0.2857142857142857,0.0,1.0,0,0.8888888888888888,True,4
2.6666666666666665,0.8888888888888888,0,2,58.333333333333336,4.4444444444444455,6,13,2.0,1.3333333333333333,0,3,18.666666666666668,3.7777777777777772,5,11,0.42857142857142855,0.2312925170068027,0.0,1.0,0,0.75,True,3
4.25,1.125,0,3,63.25,2.625,0,7,3.25,1.125,0,3,6.5,6.5,0,13,0.4642857142857143,0.3163265306122449,0.0,1.0,0,0.6470588235294118,True,4
2.25,0.75,0,2,60.0,5.0,0,13,2.75,0.75,0,2,12.0,4.666666666666667,2,20,0.4642857142857143,0.3163265306122449,0.0,1.0,0,0.6666666666666666,True,4
2.5,0.5,0,1,61.75,4.875,0,13,3.0,1.0,0,3,8.5,7.166666666666667,0,17,0.5,0.35714285714285715,0.0,1.0,0,0.7,True,4
2.857142857142857,0.7755102040816324,0,3,63.142857142857146,3.183673469387753,0,13,3.142857142857143,0.7346938775510203,0,3,6.476190476190476,5.2517006802721085,0,19,0.38775510204081637,0.3206997084548105,0.0,1.0,0,0.6,True,7
4.5,0.5,0,1,65.0,0.0,0,0,3.75,0.375,0,1,1.0,1.0,0,2,0.32142857142857145,0.38775510204081637,0.0,1.0,0,0.6111111111111112,True,4
3.75,0.875,0,3,63.25,2.625,0,7,2.75,0.875,0,3,6.166666666666667,3.5,0,9,0.42857142857142855,0.3469387755102041,0.0,1.0,0,0.8,True,4
2.25,1.375,0,4,58.25,3.375,0,13,2.5,1.0,1,3,13.5,3.6666666666666665,0,12,0.5357142857142857,0.32653061224489793,0.0,1.0,0,0.7777777777777778,True,4
1.3333333333333333,0.4444444444444444,0,1,58.333333333333336,4.4444444444444455,6,13,2.6666666666666665,0.4444444444444445,0,1,14.0,3.3333333333333335,1,8,0.619047619047619,0.2585034013605442,0.0,1.0,0,1.0,True,3
3.25,0.375,0,1,58.5,6.5,0,13,3.25,0.75,0,2,11.666666666666666,4.4444444444444455,0,11,0.5357142857142857,0.2653061224489796,0.0,1.0,0,0.7692307692307693,True,4
3.5,1.0,1,3,61.75,4.875,0,13,2.5,1.5,0,3,11.166666666666666,5.833333333333333,0,15,0.42857142857142855,0.2755102040816327,0.0,1.0,0,0.7142857142857143,True,4
4.0,0.5,0,2,60.0,5.0,0,13,2.25,0.75,0,2,13.666666666666666,4.333333333333333,2,18,0.4642857142857143,0.25510204081632654,0.0,1.0,0,0.6875,True,4
2.2857142857142856,0.9795918367346939,0,3,60.285714285714285,5.387755102040816,0,13,2.4285714285714284,1.2244897959183674,0,3,11.142857142857142,5.428571428571429,0,22,0.4897959183673469,0.31486880466472306,0.0,1.0,0,0.5625,True,7
2.0,0.6666666666666666,1,2,56.0,2.6666666666666665,0,6,2.0,1.3333333333333333,0,3,10.666666666666666,7.111111111111112,0,16,0.8095238095238095,0.272108843537415,0.0,1.0,0,0.8333333333333334,True,3
3.5,0.5,1,1,61.5,3.5,7,7,2.0,1.0,2,2,13.0,0.0,0,0,0.5,0.14285714285714285,0.0,1.0,2,0.7142857142857143,True,2
2.0,0.5,0,2,60.0,5.0,0,13,3.5,0.75,0,2,14.0,5.333333333333333,0,24,0.4642857142857143,0.25510204081632654,0.0,1.0,0,0.75,True,4
3.75,0.875,0,3,65.0,0.0,0,0,3.5,0.5,0,1,3.0,1.0,0,2,0.39285714285714285,0.37755102040816324,0.0,1.0,0,0.8666666666666667,True,4
2.4285714285714284,1.0612244897959184,0,3,61.142857142857146,4.408163265306122,0,13,2.4285714285714284,1.346938775510204,0,3,12.095238095238095,4.37641723356009,0,23,0.4693877551020408,0.2915451895043732,0.0,1.0,0,0.7058823529411765,True,7
3.0,2.0,4,4,58.0,0.0,0,0,2.5,0.5,1,1,4.0,0.0,0,0,0.7857142857142857,0.30612244897959184,0.0,1.0,0,1.0,True,2
3.25,1.25,1,4,58.25,3.375,0,13,1.0,0.0,0,0,15.166666666666666,2.222222222222222,0,6,0.5714285714285714,0.22448979591836735,0.0,1.0,0,0.7692307692307693,True,4
