value_avg,control
0.5,False
0.2727272727272727,False
0.2,False
0.25,False
0.4,False
0.25,False
0.2,False
0.3333333333333333,False
0.25,False
1.0,False
0.0,False
0.25,False
0.25,False
0.3333333333333333,False
0.3333333333333333,False
0.2857142857142857,False
0.6,False
0.25,False
0.25,False
0.2,False
0.5,False
0.4,False
0.3076923076923077,False
0.3333333333333333,False
0.5,False
0.4,False
0.3333333333333333,False
0.2,False
0.25,False
0.3,False
0.2,False
0.2222222222222222,False
0.2222222222222222,False
0.3333333333333333,False
0.2222222222222222,False
0.2222222222222222,False
0.5,False
0.3333333333333333,False
0.25,False
0.2222222222222222,False
0.5,False
0.3333333333333333,False
0.5,False
0.5,False
0.25,False
0.3333333333333333,False
0.2727272727272727,False
0.2727272727272727,False
0.25,False
0.4,False
0.25,False
0.2,False
0.3333333333333333,False
0.0,False
0.25,False
0.2222222222222222,False
0.4,False
0.5,False
1.0,False
0.3333333333333333,False
0.6,False
0.3333333333333333,False
0.5,False
0.25,False
0.2,False
0.5,False
0.2222222222222222,False
0.25,False
0.3333333333333333,False
0.4,False
0.3,False
0.3,False
0.0,False
0.5,False
0.25,False
0.3333333333333333,False
0.2857142857142857,False
0.25,False
0.5,False
0.2222222222222222,False
0.3333333333333333,False
0.3333333333333333,False
0.4,False
0.4,False
0.2222222222222222,False
0.2222222222222222,False
0.6,False
0.25,False
0.25,False
0.3333333333333333,False
0.0,False
0.25,False
0.2857142857142857,False
0.3333333333333333,False
1.0,False
0.2857142857142857,False
0.5,False
0.5,False
0.5,False
0.2,False
0.5,False
0.2222222222222222,False
0.25,False
0.5,False
0.3333333333333333,False
0.25,False
0.25,False
0.3333333333333333,False
0.3333333333333333,False
0.5,False
0.25,False
0.25,False
0.0,False
0.3333333333333333,False
0.3333333333333333,False
0.3,False
0.4,False
0.5,False
0.25,False
0.2857142857142857,False
0.2857142857142857,False
0.5,False
0.25,False
0.4,False
0.2,False
0.4,False
0.2857142857142857,False
1.0,False
0.2222222222222222,False
0.25,False
0.5,False
0.3333333333333333,False
0.3333333333333333,False
0.2,False
0.25,False
0.3333333333333333,False
0.4,False
0.25,False
0.2222222222222222,False
0.2727272727272727,False
1.0,False
1.0,False
0.3333333333333333,False
0.2,False
0.25,False
0.4,False
0.3333333333333333,False
0.4,False
0.25,False
0.3333333333333333,False
0.16666666666666666,False
0.2,False
0.0,False
0.4,False
0.6,False
0.2,False
0.25,False
0.5,False
0.2222222222222222,False
0.5,False
0.3,False
0.25,False
0.25,False
0.6,False
0.2857142857142857,False
0.5,False
0.5,False
0.3,False
0.25,False
0.2,False
0.6,False
0.3333333333333333,False
0.0,False
0.3333333333333333,False
0.4,False
0.3333333333333333,False
0.2727272727272727,False
0.3333333333333333,False
0.5,False
0.2727272727272727,False
1.0,False
0.3333333333333333,False
0.2,False
0.25,False
0.2,False
0.3333333333333333,False
0.3333333333333333,False
0.0,False
0.25,False
0.5,False
0.25,False
0.3333333333333333,False
0.3333333333333333,False
0.2222222222222222,False
0.3333333333333333,False
0.2,False
0.5,False
0.2,False
0.2,False
0.25,False
0.2,False
0.4,False
0.2857142857142857,False
0.2,False
0.2,False
0.25,False
0.2,False
0.3333333333333333,False
0.26666666666666666,False
0.7333333333333333,True
0.26666666666666666,True
0.4,True
0.5333333333333333,True
0.5333333333333333,True
0.5333333333333333,True
0.4,True
0.5333333333333333,True
0.4,True
0.26666666666666666,True
0.4,True
0.4666666666666667,True
0.8,True
0.4,True
0.6,True
0.6,True
0.3333333333333333,True
0.5333333333333333,True
0.4666666666666667,True
0.6,True
0.3333333333333333,True
0.4666666666666667,True
0.6666666666666666,True
0.4666666666666667,True
0.3333333333333333,True
0.3333333333333333,True
0.5333333333333333,True
0.4666666666666667,True
0.4,True
0.5333333333333333,True
0.4,True
0.3333333333333333,True
0.6,True
0.4,True
0.5333333333333333,True
0.5333333333333333,True
0.4,True
0.5333333333333333,True
0.6,True
0.5333333333333333,True
0.6,True
0.4666666666666667,True
0.7333333333333333,True
0.5333333333333333,True
0.4,True
0.4,True
0.6666666666666666,True
0.6666666666666666,True
0.4666666666666667,True
0.26666666666666666,True
0.4666666666666667,True
0.4666666666666667,True
0.2,True
0.4,True
0.6,True
0.5333333333333333,True
0.4666666666666667,True
0.5333333333333333,True
0.5333333333333333,True
0.8666666666666667,True
0.6,True
0.4,True
0.4,True
0.4,True
0.3333333333333333,True
0.4666666666666667,True
0.6,True
0.4666666666666667,True
0.3333333333333333,True
0.6666666666666666,True
0.6,True
0.4666666666666667,True
0.4,True
0.4,True
0.4,True
0.5333333333333333,True
0.26666666666666666,True
0.4,True
0.8,True
0.4666666666666667,True
0.26666666666666666,True
0.7333333333333333,True
0.6,True
0.5333333333333333,True
0.4,True
0.3333333333333333,True
0.3333333333333333,True
