is_control,clique_size,skills_diversity
FALSE,6,0.58
FALSE,6,0.91
FALSE,6,0.91
FALSE,6,0.68
FALSE,6,0.68
FALSE,6,0.55
FALSE,6,0.55
FALSE,6,0.71
FALSE,6,0.71
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.75
FALSE,6,0.75
FALSE,6,0.46
FALSE,6,0.46
FALSE,6,0.68
FALSE,6,0.68
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.73
FALSE,6,0.73
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.68
FALSE,6,0.88
FALSE,6,0.88
FALSE,6,0.73
FALSE,6,0.73
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.52
FALSE,6,0.52
FALSE,3,0.80
FALSE,3,0.80
FALSE,6,0.64
FALSE,6,0.64
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.69
FALSE,6,0.69
FALSE,6,0.52
FALSE,6,0.52
FALSE,6,0.80
FALSE,6,0.75
FALSE,6,0.75
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.69
FALSE,6,0.69
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.73
FALSE,6,0.73
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.58
FALSE,6,0.58
FALSE,6,0.87
FALSE,6,0.87
FALSE,6,0.58
FALSE,6,0.58
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.55
FALSE,6,0.55
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.73
FALSE,6,0.73
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.52
FALSE,6,0.64
FALSE,6,0.64
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.80
FALSE,6,0.80
FALSE,6,0.63
FALSE,6,0.63
FALSE,4,0.91
FALSE,4,0.91
FALSE,6,0.64
FALSE,6,0.64
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.68
FALSE,6,0.68
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.72
FALSE,6,0.72
FALSE,6,0.48
TRUE,6,0.71
TRUE,6,0.59
TRUE,6,0.85
TRUE,6,0.52
TRUE,5,0.75
TRUE,5,0.62
TRUE,6,0.64
TRUE,2,1.00
TRUE,3,0.90
TRUE,5,0.64
TRUE,5,0.73
TRUE,5,0.77
TRUE,4,0.87
TRUE,6,0.65
TRUE,2,1.00
TRUE,6,0.59
TRUE,5,0.77
TRUE,5,0.83
TRUE,5,0.62
TRUE,2,1.00
TRUE,5,0.63
TRUE,6,0.72
TRUE,6,0.64
TRUE,6,0.56
TRUE,6,0.67
TRUE,6,0.58
TRUE,5,0.72
TRUE,5,0.63
TRUE,5,0.61
TRUE,5,0.77
TRUE,5,0.87
TRUE,6,0.60
TRUE,6,0.55
TRUE,5,0.53
TRUE,2,1.00
TRUE,5,0.77
TRUE,6,0.72
TRUE,5,0.69
TRUE,6,0.71
TRUE,5,0.63
TRUE,5,0.64
TRUE,6,0.53
TRUE,3,0.67
TRUE,6,0.72
TRUE,6,0.72
TRUE,2,1.00
TRUE,6,0.60
TRUE,5,0.77
TRUE,5,0.63
TRUE,5,0.69
TRUE,6,0.67
TRUE,5,0.68
TRUE,5,0.69
TRUE,5,0.73
TRUE,5,0.63
TRUE,5,0.67
TRUE,5,0.67
TRUE,6,0.67
TRUE,6,0.64
TRUE,5,0.78
TRUE,5,0.67
TRUE,6,0.59
TRUE,5,0.77
TRUE,5,0.64
