mean_RCQ,mean_error_RCQ,mean_WWD,mean_error_WWD,mean_RD,mean_WSP,mean_SQ,mean_error_SQ,skill_diversity,skill_coverage,day_coverage,control
3.6,0.48,5.0,0.0,6.4,0.23076923076923078,0.23076923076923078,0.0,0.5238095238095238,11,0.7802197802197802,False
3.6,0.48,4.892307692307692,0.17230769230769258,5.6,0.23076923076923078,0.23076923076923078,0.0,0.6470588235294118,11,0.7472527472527473,False
3.625,0.5625,4.9326923076923075,0.11778846153846168,5.107142857142857,0.23076923076923078,0.23076923076923078,0.0,0.5,10,0.7472527472527473,False
4.0,0.0,5.0,0.0,,0.23076923076923078,0.23076923076923078,0.0,1.0,2,0.7142857142857143,False
3.75,0.375,5.0,0.0,5.333333333333333,0.17307692307692307,0.17307692307692307,0.08653846153846155,0.9090909090909091,10,0.7472527472527473,False
3.5,0.5,4.75,0.375,9.166666666666666,0.23076923076923078,0.23076923076923078,0.0,0.6153846153846154,8,0.7362637362637363,False
3.857142857142857,0.24489795918367344,4.9230769230769225,0.1318681318681323,7.809523809523809,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5454545454545454,12,0.7802197802197802,False
3.8,0.3200000000000001,4.892307692307692,0.17230769230769258,9.8,0.23076923076923078,0.23076923076923078,0.0,0.6666666666666666,10,0.7802197802197802,False
3.5,0.5,4.743589743589744,0.34188034188034183,8.8,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5714285714285714,12,0.7472527472527473,False
3.6666666666666665,0.4444444444444445,5.0,0.0,9.333333333333334,0.23076923076923075,0.23076923076923075,2.7755575615628914e-17,0.8181818181818182,9,0.7802197802197802,False
4.0,0.0,4.865384615384615,0.2019230769230771,11.5,0.17307692307692307,0.17307692307692307,0.08653846153846155,0.8333333333333334,5,0.7802197802197802,False
3.6,0.48,4.892307692307692,0.17230769230769258,6.6,0.23076923076923078,0.23076923076923078,0.0,0.6666666666666666,10,0.7472527472527473,False
3.8,0.3200000000000001,5.0,0.0,6.2,0.23076923076923078,0.23076923076923078,0.0,0.625,10,0.7802197802197802,False
3.6666666666666665,0.4444444444444445,4.730769230769231,0.26923076923076916,8.866666666666667,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5789473684210527,11,0.7472527472527473,False
3.625,0.46875,4.798076923076923,0.25240384615384603,8.178571428571429,0.23076923076923078,0.23076923076923078,0.0,0.52,13,0.7472527472527473,False
4.0,0.0,5.0,0.0,,0.23076923076923078,0.23076923076923078,0.0,1.0,3,0.7142857142857143,False
3.5,0.5,4.91025641025641,0.14957264957264993,8.333333333333334,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.6666666666666666,14,0.7802197802197802,False
3.5,0.5,4.730769230769231,0.26923076923076916,9.0,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5294117647058824,9,0.7472527472527473,False
3.5,0.5,5.0,0.0,4.0,0.23076923076923078,0.23076923076923078,0.0,1.0,7,0.7362637362637363,False
3.8333333333333335,0.2777777777777777,4.833333333333333,0.27777777777777796,8.2,0.19230769230769232,0.19230769230769232,0.06410256410256411,0.5263157894736842,10,0.7472527472527473,False
3.4285714285714284,0.4897959183673469,4.626373626373627,0.3202511773940345,11.428571428571429,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.48,12,0.7472527472527473,False
3.5,0.625,4.9326923076923075,0.11778846153846168,5.035714285714286,0.23076923076923078,0.23076923076923078,0.0,0.55,11,0.7472527472527473,False
3.4285714285714284,0.6530612244897959,4.9230769230769225,0.1318681318681323,5.238095238095238,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.6470588235294118,11,0.7472527472527473,False
3.857142857142857,0.24489795918367344,4.9230769230769225,0.1318681318681323,5.0476190476190474,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.6,12,0.7472527472527473,False
3.5,0.625,4.740384615384615,0.32451923076923084,9.821428571428571,0.23076923076923078,0.23076923076923078,0.0,0.5,12,0.7472527472527473,False
4.0,0.0,5.0,0.0,,0.0,0.0,0.0,1.0,2,0.7142857142857143,False
3.5,0.5,5.0,0.0,2.0,0.23076923076923078,0.23076923076923078,0.0,0.8,4,0.7252747252747253,False
3.5,0.5,4.82051282051282,0.23931623931623935,8.0,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.6111111111111112,11,0.7472527472527473,False
3.5,0.5,4.91025641025641,0.14957264957264993,5.666666666666667,0.2307692307692308,0.2307692307692308,2.7755575615628914e-17,0.5238095238095238,11,0.7472527472527473,False
4.0,0.0,4.641025641025641,0.23931623931623935,10.0,0.15384615384615385,0.15384615384615385,0.10256410256410257,0.8571428571428571,6,0.7472527472527473,False
3.857142857142857,0.24489795918367344,4.857142857142857,0.24489795918367374,7.428571428571429,0.19780219780219782,0.19780219780219782,0.056514913657770796,0.4782608695652174,11,0.7472527472527473,False
4.0,0.0,4.730769230769231,0.26923076923076916,11.0,0.23076923076923078,0.23076923076923078,0.0,0.75,3,0.7362637362637363,False
3.5,0.7,4.792307692307692,0.2907692307692308,10.422222222222222,0.23076923076923078,0.23076923076923078,0.0,0.42424242424242425,14,0.7802197802197802,False
3.5,0.5,5.0,0.0,4.0,0.23076923076923078,0.23076923076923078,0.0,1.0,5,0.7362637362637363,False
3.6,0.48,5.0,0.0,6.2,0.23076923076923078,0.23076923076923078,0.0,0.5882352941176471,10,0.7802197802197802,False
3.5,0.5,4.865384615384615,0.2019230769230771,7.5,0.23076923076923078,0.23076923076923078,0.0,0.5833333333333334,7,0.7472527472527473,False
