mean_RCQ,mean_error_RCQ,mean_WWD,mean_error_WWD,mean_RD,mean_WSP,mean_SQ,mean_error_SQ,skill_diversity,skill_coverage,day_coverage,control
3.4285714285714284,0.6530612244897959,4.78021978021978,0.3139717425431711,8.571428571428571,0.2307692307692308,2.4285714285714284,1.2244897959183674,0.5882352941176471,10,0.7472527472527473,False
3.7142857142857144,0.4081632653061224,4.846153846153846,0.2197802197802199,9.619047619047619,0.2307692307692308,2.142857142857143,0.7755102040816324,0.5333333333333333,8,0.7802197802197802,False
3.5,0.625,4.9326923076923075,0.11778846153846168,6.964285714285714,0.23076923076923078,2.5,1.125,0.55,11,0.7802197802197802,False
3.5,0.5,4.730769230769231,0.26923076923076916,13.0,0.23076923076923078,3.0,1.0,1.0,6,0.7472527472527473,False
3.7142857142857144,0.4081632653061224,4.703296703296703,0.33908948194662486,10.761904761904763,0.2307692307692308,3.0,1.1428571428571428,0.5238095238095238,11,0.7472527472527473,False
4.0,0.0,4.0,0.0,,0.23076923076923078,2.0,0.0,1.0,2,0.5714285714285714,False
3.6,0.48,4.892307692307692,0.17230769230769258,6.2,0.23076923076923078,3.4,0.72,0.5882352941176471,10,0.7472527472527473,False
3.8,0.3200000000000001,4.792307692307692,0.2907692307692308,10.688888888888888,0.2076923076923077,2.7,1.2999999999999996,0.48148148148148145,13,0.7802197802197802,False
3.8,0.3200000000000001,5.0,0.0,6.4,0.23076923076923078,2.8,1.04,0.7857142857142857,11,0.7802197802197802,False
3.75,0.375,5.0,0.0,2.6666666666666665,0.23076923076923078,3.75,0.375,0.6666666666666666,10,0.7362637362637363,False
3.8333333333333335,0.2777777777777777,4.743589743589744,0.34188034188034183,9.6,0.2307692307692308,2.8333333333333335,1.222222222222222,0.5882352941176471,10,0.7472527472527473,False
3.6666666666666665,0.4444444444444445,5.0,0.0,2.6666666666666665,0.23076923076923075,4.0,0.0,0.6666666666666666,8,0.7362637362637363,False
3.8333333333333335,0.2777777777777777,5.0,0.0,6.133333333333334,0.19230769230769232,2.3333333333333335,1.1111111111111114,0.5714285714285714,8,0.7802197802197802,False
3.8,0.3200000000000001,4.692307692307692,0.36923076923076936,14.8,0.23076923076923078,3.0,1.2,0.6,9,0.7802197802197802,False
4.0,0.0,5.0,0.0,,0.23076923076923078,2.0,0.0,1.0,2,0.7142857142857143,False
4.0,0.0,5.0,0.0,6.0,0.11538461538461539,2.5,1.5,0.8,4,0.7472527472527473,False
3.8333333333333335,0.2777777777777777,4.91025641025641,0.14957264957264993,6.866666666666666,0.19230769230769232,2.6666666666666665,1.0,0.6875,11,0.7472527472527473,False
3.375,0.78125,4.798076923076923,0.25240384615384603,10.035714285714286,0.23076923076923078,2.125,0.9375,0.5882352941176471,10,0.7802197802197802,False
3.6,0.5600000000000002,4.892307692307692,0.17230769230769258,8.044444444444444,0.2076923076923077,2.3,1.0200000000000002,0.4782608695652174,11,0.7802197802197802,False
3.8,0.3200000000000001,5.0,0.0,6.6,0.18461538461538463,2.6,1.28,0.7692307692307693,10,0.7802197802197802,False
3.8333333333333335,0.2777777777777777,4.653846153846153,0.3461538461538461,11.666666666666666,0.2307692307692308,3.0,1.3333333333333333,0.6111111111111112,11,0.7472527472527473,False
3.6,0.48,4.692307692307692,0.36923076923076936,11.2,0.23076923076923078,3.4,1.1199999999999999,0.5882352941176471,10,0.7472527472527473,False
3.8,0.3200000000000001,5.0,0.0,6.2,0.23076923076923078,3.0,1.2,0.6,9,0.7802197802197802,False
3.75,0.375,5.0,0.0,4.0,0.17307692307692307,3.0,1.0,0.8333333333333334,10,0.7472527472527473,False
3.5,0.6666666666666666,5.0,0.0,5.6,0.2307692307692308,2.3333333333333335,1.1111111111111114,0.5714285714285714,8,0.7802197802197802,False
3.8,0.3200000000000001,4.692307692307692,0.36923076923076936,14.8,0.18461538461538463,2.4,0.8800000000000001,0.8333333333333334,10,0.7802197802197802,False
3.3333333333333335,0.7407407407407405,4.88034188034188,0.1861348528015197,8.333333333333334,0.23076923076923078,2.3333333333333335,1.1111111111111114,0.5714285714285714,12,0.7802197802197802,False
3.8333333333333335,0.2777777777777777,4.91025641025641,0.14957264957264993,8.866666666666667,0.2307692307692308,3.0,1.0,0.5555555555555556,10,0.7802197802197802,False
4.0,0.0,5.0,0.0,,0.23076923076923078,3.0,0.0,1.0,3,0.7142857142857143,False
3.8,0.3200000000000001,4.692307692307692,0.36923076923076936,14.8,0.18461538461538463,2.6,1.1199999999999999,0.6923076923076923,9,0.7802197802197802,False
3.625,0.5625,4.8076923076923075,0.28846153846153855,10.0,0.23076923076923078,2.375,1.375,0.5263157894736842,10,0.7802197802197802,False
3.7,0.47999999999999987,4.892307692307692,0.17230769230769258,8.088888888888889,0.2076923076923077,2.5,1.2,0.44,11,0.7802197802197802,False
3.5714285714285716,0.4897959183673469,5.0,0.0,4.666666666666667,0.2307692307692308,2.857142857142857,1.0204081632653064,0.5,10,0.7802197802197802,False
3.8333333333333335,0.2777777777777777,4.743589743589744,0.34188034188034183,13.066666666666666,0.19230769230769232,2.6666666666666665,1.0,0.6875,11,0.7802197802197802,False
3.7142857142857144,0.4081632653061224,4.846153846153846,0.2197802197802199,7.904761904761905,0.19780219780219782,2.142857142857143,0.7755102040816324,0.5333333333333333,8,0.7472527472527473,False
3.5714285714285716,0.6122448979591836,4.703296703296703,0.33908948194662486,10.285714285714286,0.2307692307692308,2.5714285714285716,1.346938775510204,0.5,9,0.7472527472527473,False
