Simplicity,Mean Fitness,Atomicity
115.0,-375.5780133573741,0.0
115.0,-375.5780133573741,0.0
114.0,-374.3697329311397,1.2063069316075504e-16
114.0,-374.3697329311397,1.2063069316075504e-16
114.0,-374.37430983056356,1.3514389324116978e-16
114.0,-374.37430983056356,1.3514389324116978e-16
114.0,-374.4121687783036,1.4958660211975295e-16
114.0,-374.4121687783036,1.4958660211975295e-16
114.0,-374.4141591996631,1.599979234768977e-16
114.0,-374.4141591996631,1.599979234768977e-16
114.0,-374.61873033263595,1.6580784544666744e-16
114.0,-374.61873033263595,1.6580784544666744e-16
114.0,-375.02747082124387,1.7059091077538547e-16
114.0,-375.02747082124387,1.7059091077538547e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
114.0,-375.5780133573741,2.2204460492503123e-16
113.0,-373.43492435393654,0.06581562096129036
113.0,-373.43492435393654,0.06581562096129036
113.0,-373.4889078419931,0.06980864083949977
113.0,-373.4889078419931,0.06980864083949977
113.0,-373.5189415994137,0.07001863899176926
113.0,-373.5189415994137,0.07001863899176926
113.0,-373.5578989819161,0.08407296558618949
113.0,-373.5578989819161,0.08407296558618949
113.0,-373.67962318875107,0.08587350696319795
113.0,-373.67962318875107,0.08587350696319795
113.0,-373.78245406425503,0.13333988697455829
113.0,-373.78245406425503,0.13333988697455829
112.0,-372.9271534211136,0.015164554050404382
112.0,-372.9271534211136,0.015164554050404382
112.0,-373.0106523365505,0.0913755468904245
112.0,-373.0106523365505,0.0913755468904245
112.0,-373.215371424185,0.09616789258203058
112.0,-373.215371424185,0.09616789258203058
112.0,-373.3182637132267,0.0987401413599038
112.0,-373.3182637132267,0.0987401413599038
112.0,-373.3748619917389,0.11441020248756474
112.0,-373.3748619917389,0.11441020248756474
112.0,-373.6189845166431,0.1482522683726842
112.0,-373.6189845166431,0.1482522683726842
111.0,-372.5488698443209,-0.003529199403608054
111.0,-372.5488698443209,-0.003529199403608054
111.0,-372.5962547237269,0.01869011678692123
111.0,-372.5962547237269,0.01869011678692123
111.0,-372.7160832840711,0.028632828780317757
111.0,-372.7160832840711,0.028632828780317757
111.0,-372.7593984694298,0.07399423801519153
111.0,-372.7593984694298,0.07399423801519153
111.0,-372.81183466142426,0.0835552168296938
111.0,-372.81183466142426,0.0835552168296938
110.0,-372.3304541977862,-0.00045338166521778525
110.0,-372.3304541977862,-0.00045338166521778525
110.0,-372.3533775851558,-0.00017080654638792895
110.0,-372.3533775851558,-0.00017080654638792895
110.0,-372.42390243866714,0.00045996896911338324
110.0,-372.42390243866714,0.00045996896911338324
110.0,-372.45328781842875,0.002273733275808456
110.0,-372.45328781842875,0.002273733275808456
110.0,-372.4698239636271,0.02248421158850145
110.0,-372.4698239636271,0.02248421158850145
110.0,-372.50994335993545,0.022695891383217204
110.0,-372.50994335993545,0.022695891383217204
110.0,-372.526160862733,0.026214455456863232
110.0,-372.526160862733,0.026214455456863232
110.0,-372.5324126249217,0.02678116586857244
110.0,-372.5324126249217,0.02678116586857244
110.0,-372.580290812594,0.02945084710001472
110.0,-372.580290812594,0.02945084710001472
110.0,-372.5877658726115,0.04678161363323033
110.0,-372.5877658726115,0.04678161363323033
110.0,-372.622690427701,0.07466073063815307
110.0,-372.622690427701,0.07466073063815307
109.0,-372.2403952685365,-0.0013802971202357798
109.0,-372.2403952685365,-0.0013802971202357798
109.0,-372.2892440823177,-0.000586837943795016
109.0,-372.2892440823177,-0.000586837943795016
109.0,-372.3043941834545,-0.000361707528924909
109.0,-372.3043941834545,-0.000361707528924909
109.0,-372.30904745992,0.0005643310735849931
109.0,-372.30904745992,0.0005643310735849931
109.0,-372.3304541977862,0.0006121294105704312
109.0,-372.3304541977862,0.0006121294105704312
109.0,-372.3349102949503,0.003222837556921198
109.0,-372.3349102949503,0.003222837556921198
109.0,-372.34559952478594,0.004426111280735408
109.0,-372.34559952478594,0.004426111280735408
109.0,-372.3900315365924,0.013164288550968984
109.0,-372.3900315365924,0.013164288550968984
109.0,-372.4039777608408,0.02027530940374557
109.0,-372.4039777608408,0.02027530940374557
109.0,-372.40769904802426,0.02105240594678352
109.0,-372.40769904802426,0.02105240594678352
109.0,-372.44885686722523,0.022195932400078416
109.0,-372.44885686722523,0.022195932400078416
109.0,-372.4641958532995,0.022984513578810675
109.0,-372.4641958532995,0.022984513578810675
109.0,-372.4771985785644,0.035283583715999614
109.0,-372.4771985785644,0.035283583715999614
109.0,-372.48425217610446,0.04870896501543905
109.0,-372.48425217610446,0.04870896501543905
109.0,-372.56807705560385,0.053464047828533194
109.0,-372.56807705560385,0.053464047828533194
109.0,-372.5933679137089,0.054988114297902894
109.0,-372.5933679137089,0.054988114297902894
109.0,-372.6047804550335,0.05733518621217971
109.0,-372.6047804550335,0.05733518621217971
108.0,-372.21149657175266,-0.0006498701679727953
108.0,-372.21149657175266,-0.0006498701679727953
108.0,-372.2136564287448,-0.0002988494103675919
108.0,-372.2136564287448,-0.0002988494103675919
108.0,-372.2723180115463,0.0009113871748671599
108.0,-372.2723180115463,0.0009113871748671599
108.0,-372.29542797626095,0.0038378070680308027
108.0,-372.29542797626095,0.0038378070680308027
108.0,-372.30094805022117,0.006005794129246344
108.0,-372.30094805022117,0.006005794129246344
108.0,-372.3090524669516,0.007906939155092326
108.0,-372.3090524669516,0.007906939155092326
108.0,-372.33265906972326,0.014208371077504355
108.0,-372.33265906972326,0.014208371077504355
108.0,-372.36211345835403,0.016284796707469802
108.0,-372.36211345835403,0.016284796707469802
108.0,-372.3751166060909,0.017185382826586607
108.0,-372.3751166060909,0.017185382826586607
108.0,-372.37571057010626,0.01868872757062364
108.0,-372.37571057010626,0.01868872757062364
108.0,-372.41469466003446,0.02670492581262489
108.0,-372.41469466003446,0.02670492581262489
108.0,-372.4615176004245,0.03010058916160043
108.0,-372.4615176004245,0.03010058916160043
108.0,-372.4649839735189,0.03630101512002817
108.0,-372.4649839735189,0.03630101512002817
108.0,-372.56151638834984,0.053347169916294464
108.0,-372.56151638834984,0.053347169916294464
108.0,-372.5620507032445,0.057761832028226566
108.0,-372.5620507032445,0.057761832028226566
107.0,-372.2103408922868,-0.0006173624354011875
107.0,-372.2103408922868,-0.0006173624354011875
107.0,-372.21034089228687,-0.0005901485267727996
107.0,-372.21034089228687,-0.0005901485267727996
107.0,-372.21149657175266,-0.0004908840900274493
107.0,-372.21149657175266,-0.0004908840900274493
107.0,-372.2136564287448,-0.0001603728498888978
107.0,-372.2136564287448,-0.0001603728498888978
107.0,-372.22339406898107,-5.195241103797897e-05
107.0,-372.22339406898107,-5.195241103797897e-05
107.0,-372.2251302057827,0.0006827221480806851
107.0,-372.2251302057827,0.0006827221480806851
107.0,-372.2400513344096,0.0007131869956031639
107.0,-372.2400513344096,0.0007131869956031639
107.0,-372.27175379263764,0.0007620621151926272
107.0,-372.27175379263764,0.0007620621151926272
107.0,-372.2723180115463,0.0016415787730786422
107.0,-372.2723180115463,0.0016415787730786422
107.0,-372.27334267972805,0.0025133665900045586
107.0,-372.27334267972805,0.0025133665900045586
107.0,-372.2842846812482,0.0036636065399263096
107.0,-372.2842846812482,0.0036636065399263096
107.0,-372.28531416027397,0.005796957063113878
107.0,-372.28531416027397,0.005796957063113878
107.0,-372.29532951860745,0.008808812869020407
107.0,-372.29532951860745,0.008808812869020407
107.0,-372.302513386241,0.010005802121031864
107.0,-372.302513386241,0.010005802121031864
107.0,-372.3159779947301,0.010072557697726216
107.0,-372.3159779947301,0.010072557697726216
107.0,-372.3203001235102,0.010180782767609453
107.0,-372.3203001235102,0.010180782767609453
107.0,-372.3263916822148,0.013469270590089665
107.0,-372.3263916822148,0.013469270590089665
107.0,-372.33929485062396,0.015168048685437542
107.0,-372.33929485062396,0.015168048685437542
107.0,-372.35002238884374,0.015873652016187866
107.0,-372.35002238884374,0.015873652016187866
107.0,-372.3554300454385,0.017315979667330377
107.0,-372.3554300454385,0.017315979667330377
107.0,-372.3912283676781,0.026213343599927736
107.0,-372.3912283676781,0.026213343599927736
107.0,-372.48274603608434,0.03660659244335342
106.0,-372.2103408922868,-0.0005293021142515035
106.0,-372.2103408922868,-0.0005293021142515035
106.0,-372.21034089228687,-0.0003913754204244676
106.0,-372.21149657175266,-0.0002274328273271753
106.0,-372.2136564287448,-7.895894861395586e-05
106.0,-372.2136564287448,-7.895894861395586e-05
106.0,-372.22339406898107,6.063600004154383e-07
106.0,-372.22339406898107,6.063600004154383e-07
106.0,-372.24727099051694,0.001082712428378037
106.0,-372.24727099051694,0.001082712428378037
106.0,-372.24851273081646,0.0038648112521005307
106.0,-372.24851273081646,0.0038648112521005307
106.0,-372.26021364290455,0.004910491413604063
106.0,-372.26021364290455,0.004910491413604063
106.0,-372.27688259369904,0.008962279440637962
106.0,-372.27688259369904,0.008962279440637962
106.0,-372.29532951860745,0.010505726648791914
106.0,-372.3092529360648,0.011143186378797944
106.0,-372.3092529360648,0.011143186378797944
106.0,-372.32094312071524,0.013480528412731575
106.0,-372.32094312071524,0.013480528412731575
106.0,-372.3237406847355,0.013746876700024195
106.0,-372.3237406847355,0.013746876700024195
106.0,-372.3760109950249,0.021970771113627677
106.0,-372.3760109950249,0.021970771113627677
105.0,-372.2103408922868,-0.0002667894046774821
105.0,-372.2103408922868,-0.0002667894046774821
105.0,-372.2136564287448,-5.499130443801716e-05
105.0,-372.2136564287448,-5.499130443801716e-05
105.0,-372.2136564287448,-5.499130443801716e-05
105.0,-372.2136564287448,-5.499130443801716e-05
105.0,-372.2136564287448,-5.499130443801716e-05
105.0,-372.2136564287448,-5.499130443801716e-05
105.0,-372.2136564287448,-5.499130443801716e-05
105.0,-372.22339406898107,6.139539899238072e-05
105.0,-372.24614206065553,0.0013376696303399132
105.0,-372.24614206065553,0.0013376696303399132
105.0,-372.26021364290455,0.006336331177136247
105.0,-372.26021364290455,0.006336331177136247
105.0,-372.2656428817486,0.006485016142292018
105.0,-372.2656428817486,0.006485016142292018
105.0,-372.2873981128287,0.010009782343928901
105.0,-372.2914224595825,0.01005430756578462
105.0,-372.2914224595825,0.01005430756578462
105.0,-372.3092452560627,0.011240111688628754
105.0,-372.3092452560627,0.011240111688628754
105.0,-372.3092529360648,0.011381942618918374
105.0,-372.3092529360648,0.011381942618918374
105.0,-372.3320202491808,0.015803635611427804
105.0,-372.3320202491808,0.015803635611427804
105.0,-372.45727387946715,0.029289181814160636
105.0,-372.45727387946715,0.029289181814160636
104.0,-372.2103408922868,-2.5555193208678543e-05
104.0,-372.2103408922868,-2.5555193208678543e-05
104.0,-372.2157613368501,0.0007090117107326847
104.0,-372.2157613368501,0.0007090117107326847
104.0,-372.24614206065553,0.0016924045103046913
104.0,-372.24614206065553,0.0016924045103046913
103.0,-372.20707638525073,-0.0004197921146800482
103.0,-372.20707638525073,-0.0004197921146800482
103.0,-372.21034089228687,-8.952622820944156e-06
103.0,-372.21034089228687,-8.952622820944156e-06
103.0,-372.21034089228687,-8.952622820944156e-06
103.0,-372.21034089228687,-8.952622820944156e-06
103.0,-372.2160586608135,0.0009493847135399498
103.0,-372.2160586608135,0.0009493847135399498
114.0,-374.4504207848309,1.2514043414613098e-16
114.0,-374.4504207848309,1.2514043414613098e-16
114.0,-374.61101207968034,1.4669856574199733e-16
114.0,-374.61101207968034,1.4669856574199733e-16
114.0,-374.87593380861466,1.526780129117443e-16
114.0,-374.87593380861466,1.526780129117443e-16
114.0,-375.0019891209889,1.5660834628060408e-16
114.0,-375.0019891209889,1.5660834628060408e-16
114.0,-375.05180429021317,1.677641223238191e-16
114.0,-375.05180429021317,1.677641223238191e-16
113.0,-373.48762104162716,0.045299960442781624
113.0,-373.48762104162716,0.045299960442781624
113.0,-373.5652058067681,0.08051911713928765
113.0,-373.5652058067681,0.08051911713928765
113.0,-373.8227951555901,0.08245420864215261
113.0,-373.8227951555901,0.08245420864215261
113.0,-373.8273414493719,0.08355464163911096
113.0,-373.8273414493719,0.08355464163911096
112.0,-373.01400026541893,0.07397334638387176
112.0,-373.01400026541893,0.07397334638387176
112.0,-373.0567870178546,0.07748720029464541
112.0,-373.0567870178546,0.07748720029464541
112.0,-373.09415017542034,0.08744582226597225
112.0,-373.09415017542034,0.08744582226597225
112.0,-373.09668404000854,0.08909119056153124
112.0,-373.09668404000854,0.08909119056153124
111.0,-372.63405143414866,0.018377255169184894
111.0,-372.63405143414866,0.018377255169184894
111.0,-372.71685289016943,0.024497283029608508
111.0,-372.71685289016943,0.024497283029608508
111.0,-372.7730556956553,0.035668114117997606
111.0,-372.7730556956553,0.035668114117997606
111.0,-372.77575789530175,0.04390931877561698
111.0,-372.77575789530175,0.04390931877561698
111.0,-372.7871672207439,0.05725224627907863
111.0,-372.7871672207439,0.05725224627907863
111.0,-372.8090759650979,0.06168628005667683
111.0,-372.8090759650979,0.06168628005667683
111.0,-372.83014345196824,0.06596676618469283
111.0,-372.83014345196824,0.06596676618469283
111.0,-372.8502278438548,0.06804621068635519
111.0,-372.8502278438548,0.06804621068635519
111.0,-372.85050161972856,0.07744914244615103
111.0,-372.85050161972856,0.07744914244615103
111.0,-373.05482332405944,0.08327119190893979
111.0,-373.05482332405944,0.08327119190893979
110.0,-372.470054946568,0.021424749206805753
110.0,-372.470054946568,0.021424749206805753
110.0,-372.52697127050243,0.024098908016695855
110.0,-372.52697127050243,0.024098908016695855
110.0,-372.5960802610296,0.024490908978653102
110.0,-372.5960802610296,0.024490908978653102
110.0,-372.5975549083293,0.03082323441254687
110.0,-372.5975549083293,0.03082323441254687
110.0,-372.63223916836967,0.03798550255707961
110.0,-372.63223916836967,0.03798550255707961
110.0,-372.648716957529,0.03807428835162954
110.0,-372.648716957529,0.03807428835162954
110.0,-372.66298080721276,0.053339576468723775
110.0,-372.66298080721276,0.053339576468723775
110.0,-372.67316156344856,0.07309641609572864
110.0,-372.67316156344856,0.07309641609572864
109.0,-372.2403952685365,-0.0014394379315676895
109.0,-372.2403952685365,-0.0014394379315676895
109.0,-372.2998084351125,-0.0012049187336388495
109.0,-372.2998084351125,-0.0012049187336388495
109.0,-372.30446996484125,-0.0007222072444023616
109.0,-372.30446996484125,-0.0007222072444023616
109.0,-372.30904745992,-0.0003718956922832777
109.0,-372.30904745992,-0.0003718956922832777
109.0,-372.3304541977862,4.96397236326514e-05
109.0,-372.3304541977862,4.96397236326514e-05
109.0,-372.354342638211,0.0007987096944126887
109.0,-372.354342638211,0.0007987096944126887
109.0,-372.3563738116809,0.0042159972865882505
109.0,-372.3563738116809,0.0042159972865882505
109.0,-372.41252223956155,0.010623338026553198
109.0,-372.41252223956155,0.010623338026553198
109.0,-372.41482670027034,0.012367527419525825
109.0,-372.41482670027034,0.012367527419525825
109.0,-372.4239991129989,0.015497805392641222
109.0,-372.4239991129989,0.015497805392641222
109.0,-372.4402886743732,0.01818459881943247
109.0,-372.4402886743732,0.01818459881943247
109.0,-372.4451618708256,0.019960721207572935
109.0,-372.4451618708256,0.019960721207572935
109.0,-372.45451914633395,0.021573960301324267
109.0,-372.45451914633395,0.021573960301324267
109.0,-372.4558607890318,0.02170978999147579
109.0,-372.4558607890318,0.02170978999147579
109.0,-372.48073837617557,0.02399794928495923
