size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
3,0,9.333333333333334,0,4,1.0,False
3,0,9.333333333333334,0,4,1.0,False
4,0,1.6666666666666667,0,2,0.625,False
4,0,1.6666666666666667,0,2,0.625,False
6,0,9.2,13,3,0.631578947368421,False
6,0,9.2,13,3,0.631578947368421,False
6,0,11.533333333333333,13,4,0.65,False
6,0,11.533333333333333,13,4,0.65,False
5,0,2.4,0,3,0.6111111111111112,False
5,0,2.4,0,3,0.6111111111111112,False
4,0,15.166666666666666,13,4,0.875,False
4,0,15.166666666666666,13,4,0.875,False
6,0,10.533333333333333,13,1,0.5909090909090909,False
6,0,10.533333333333333,13,1,0.5909090909090909,False
3,0,14.666666666666666,13,3,1.0,False
3,0,14.666666666666666,13,3,1.0,False
6,0,10.0,13,4,0.5909090909090909,False
6,0,10.0,13,4,0.5909090909090909,False
6,0,14.533333333333333,13,2,0.6666666666666666,False
6,0,14.533333333333333,13,2,0.6666666666666666,False
6,0,10.333333333333334,13,4,0.6666666666666666,False
6,0,10.333333333333334,13,4,0.6666666666666666,False
2,0,15.0,13,4,1.0,False
2,0,15.0,13,4,1.0,False
6,0,13.666666666666666,13,2,0.6428571428571429,False
6,0,13.666666666666666,13,2,0.6428571428571429,False
6,0,9.866666666666667,13,4,0.6666666666666666,False
6,0,9.866666666666667,13,4,0.6666666666666666,False
5,0,18.2,13,3,0.6363636363636364,False
5,0,18.2,13,3,0.6363636363636364,False
6,0,13.6,13,4,0.75,False
6,0,13.6,13,4,0.75,False
6,0,9.6,13,4,0.631578947368421,False
6,0,9.6,13,4,0.631578947368421,False
6,0,13.6,13,4,0.7058823529411765,False
6,0,13.6,13,4,0.7058823529411765,False
6,0,14.0,13,3,0.6153846153846154,False
6,0,14.0,13,3,0.6153846153846154,False
4,0,19.833333333333332,13,3,0.7,False
4,0,19.833333333333332,13,3,0.7,False
6,0,12.333333333333334,13,4,0.75,False
6,0,12.333333333333334,13,4,0.75,False
6,0,15.133333333333333,13,4,0.7222222222222222,False
6,0,15.133333333333333,13,4,0.7222222222222222,False
6,0,15.4,13,4,0.631578947368421,False
6,0,15.4,13,4,0.631578947368421,False
6,0,11.266666666666667,13,4,0.6190476190476191,False
6,0,11.266666666666667,13,4,0.6190476190476191,False
5,0,8.4,13,2,0.9,True
4,0,9.166666666666666,13,2,0.9285714285714286,True
5,0,8.0,13,3,0.6923076923076923,True
5,0,12.0,13,4,0.75,True
6,0,8.066666666666666,7,2,0.52,True
4,0,18.0,6,4,0.9090909090909091,True
6,0,7.866666666666666,7,1,0.9,True
5,0,5.6,7,3,0.5882352941176471,True
6,0,9.733333333333333,13,4,0.7647058823529411,True
3,0,18.0,13,2,0.8181818181818182,True
5,0,11.0,13,4,0.7058823529411765,True
5,0,8.0,13,3,0.6363636363636364,True
4,0,3.0,0,3,1.0,True
4,0,7.833333333333333,13,3,0.8,True
4,0,5.5,7,2,0.75,True
5,0,1.2,0,3,0.6666666666666666,True
5,0,12.2,13,3,0.6190476190476191,True
6,0,2.533333333333333,0,3,0.6153846153846154,True
4,0,12.333333333333334,13,2,0.7272727272727273,True
6,0,13.0,13,4,0.5714285714285714,True
3,1,18.0,13,4,0.8,True
5,0,10.4,13,3,0.8888888888888888,True
4,0,14.333333333333334,13,1,0.5,True
4,0,3.3333333333333335,0,4,0.9090909090909091,True
4,1,6.5,7,3,0.5,True
5,0,6.4,7,2,0.7333333333333333,True
6,0,13.066666666666666,13,3,0.75,True
6,0,10.866666666666667,13,3,0.6666666666666666,True
5,0,18.6,13,4,0.6923076923076923,True
4,0,6.5,7,3,0.7142857142857143,True
6,0,11.8,13,4,0.5714285714285714,True
2,0,4.0,0,1,1.0,True
2,0,15.0,13,2,1.0,True
4,0,13.666666666666666,13,2,0.8333333333333334,True
6,0,14.933333333333334,13,4,0.8181818181818182,True
2,1,17.0,13,1,0.6666666666666666,True
2,0,4.0,0,0,1.0,True
6,0,12.666666666666666,13,3,0.5789473684210527,True
5,0,9.8,7,3,0.8888888888888888,True
2,0,17.0,13,3,1.0,True
5,0,9.6,13,2,0.6666666666666666,True
4,0,6.166666666666667,7,3,1.0,True
2,0,13.0,7,4,1.0,True
6,0,9.333333333333334,13,4,0.7142857142857143,True
6,0,14.133333333333333,13,0,0.8333333333333334,True
3,0,12.0,13,4,0.9,True
5,0,10.0,13,4,0.8,True
5,0,13.8,13,4,0.5789473684210527,True
5,0,14.6,13,4,0.5789473684210527,True
4,1,2.3333333333333335,0,3,0.6666666666666666,True
4,0,9.5,13,2,0.6153846153846154,True
4,0,10.166666666666666,13,3,0.7333333333333333,True
5,0,7.2,13,4,0.6428571428571429,True
5,0,11.4,13,4,0.7857142857142857,True
4,0,6.833333333333333,7,3,0.7333333333333333,True
6,0,10.4,13,1,0.6428571428571429,True
5,0,8.8,13,4,0.8,True
4,0,20.0,6,2,0.8333333333333334,True
5,0,15.2,13,2,0.6428571428571429,True
2,0,8.0,0,4,1.0,True
6,0,16.0,13,4,0.7222222222222222,True
3,1,11.333333333333334,13,1,0.7142857142857143,True
6,0,18.666666666666668,6,4,0.6363636363636364,True
2,2,17.0,13,1,0.6,True
3,0,8.666666666666666,7,3,0.7272727272727273,True
5,0,14.0,13,4,0.9090909090909091,True
5,0,10.0,13,4,0.6875,True
2,0,6.0,0,2,1.0,True
4,0,7.166666666666667,7,3,0.7777777777777778,True
5,0,13.2,13,4,0.5789473684210527,True
2,0,15.0,13,3,1.0,True
2,1,9.0,7,1,0.8,True
5,0,2.6,0,3,0.6875,True
6,0,15.066666666666666,13,4,0.5,True
4,0,13.333333333333334,13,4,0.75,True
5,0,11.6,13,4,0.7333333333333333,True
4,0,9.833333333333334,13,4,0.8333333333333334,True
