size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,control
2,1,12.0,6,0,False
2,2,4.0,0,1,False
2,1,20.0,6,1,False
2,2,16.0,0,0,False
2,1,12.0,6,0,False
2,2,4.0,0,1,False
2,1,20.0,6,1,False
2,2,16.0,0,0,False
3,0,11.333333333333334,13,2,False
3,0,11.333333333333334,13,2,False
2,0,0.0,0,1,False
2,0,0.0,0,1,False
2,1,0.0,0,2,False
2,1,0.0,0,2,False
5,0,7.4,13,3,False
5,0,7.4,13,3,False
4,0,8.5,13,3,False
4,0,8.5,13,3,False
4,0,1.0,0,2,False
4,0,1.0,0,2,False
4,0,8.5,13,3,False
4,0,8.5,13,3,False
2,0,17.0,13,2,False
2,0,17.0,13,2,False
3,0,12.0,13,2,False
3,0,12.0,13,2,False
3,0,0.0,0,2,False
3,0,0.0,0,2,False
3,0,11.333333333333334,7,3,False
3,0,12.666666666666666,13,4,False
3,0,10.0,13,3,False
3,0,6.666666666666667,0,3,False
3,0,15.333333333333334,13,3,False
3,0,8.666666666666666,7,2,False
3,0,14.666666666666666,13,4,False
3,0,14.666666666666666,13,3,False
3,0,22.666666666666668,6,4,False
3,0,13.333333333333334,13,2,False
3,0,19.333333333333332,13,4,False
3,0,18.666666666666668,6,3,False
3,0,19.333333333333332,0,4,False
3,0,16.0,13,1,False
3,0,20.666666666666668,13,3,False
3,0,16.0,13,1,False
3,0,16.0,13,1,False
3,0,16.0,13,1,False
3,0,16.0,6,3,False
3,0,10.666666666666666,13,2,False
3,0,15.333333333333334,13,3,False
3,0,19.333333333333332,0,4,False
3,1,20.666666666666668,0,0,False
3,0,14.0,13,3,False
3,0,14.666666666666666,13,1,False
3,0,13.333333333333334,13,3,False
3,0,16.666666666666668,13,1,False
3,1,14.0,6,1,False
3,0,11.333333333333334,6,3,False
3,0,19.333333333333332,0,4,False
3,0,11.333333333333334,13,4,False
3,0,16.0,6,4,False
3,0,12.666666666666666,13,1,False
3,0,6.666666666666667,0,3,False
3,0,11.333333333333334,13,4,False
3,0,11.333333333333334,13,4,False
3,0,12.666666666666666,13,1,False
3,1,16.666666666666668,13,0,False
3,0,10.666666666666666,13,2,False
3,0,18.0,13,4,False
3,1,16.0,13,1,False
3,0,17.333333333333332,13,4,False
3,0,11.333333333333334,13,1,False
3,0,16.0,13,4,False
3,0,8.0,0,2,False
3,1,15.333333333333334,6,3,False
3,0,11.333333333333334,13,2,False
3,0,16.0,13,2,False
3,0,18.666666666666668,6,2,False
3,0,13.333333333333334,13,3,False
3,0,11.333333333333334,13,3,False
3,0,13.333333333333334,6,2,False
3,0,16.0,13,3,False
3,0,16.0,13,1,False
3,0,16.666666666666668,6,1,False
3,0,11.333333333333334,13,0,False
3,0,14.666666666666666,13,2,False
3,0,14.666666666666666,13,3,False
3,0,13.333333333333334,6,1,False
3,1,11.333333333333334,0,3,False
3,0,11.333333333333334,13,1,False
3,0,14.0,13,3,False
3,0,17.333333333333332,13,3,False
3,0,14.666666666666666,13,3,False
3,0,11.333333333333334,13,1,False
3,0,12.666666666666666,13,3,False
3,0,16.0,13,1,False
3,0,8.666666666666666,0,3,False
3,0,10.666666666666666,0,2,False
3,0,18.666666666666668,6,4,False
3,0,24.0,13,4,False
3,0,11.333333333333334,0,3,False
3,0,20.0,6,2,False
3,0,17.333333333333332,6,4,False
3,0,10.666666666666666,13,2,False
3,0,16.666666666666668,0,4,False
3,0,11.333333333333334,13,1,False
3,0,16.666666666666668,13,3,False
3,0,8.0,0,3,False
3,0,12.666666666666666,13,1,False
3,1,16.666666666666668,13,0,False
3,0,14.666666666666666,13,2,False
3,0,16.0,13,4,False
3,0,11.333333333333334,13,3,False
3,0,13.333333333333334,6,1,False
3,0,11.333333333333334,7,3,False
3,0,12.666666666666666,13,4,False
3,0,10.0,13,3,False
3,0,6.666666666666667,0,3,False
3,0,15.333333333333334,13,3,False
3,0,8.666666666666666,7,2,False
3,0,14.666666666666666,13,4,False
3,0,14.666666666666666,13,3,False
3,0,22.666666666666668,6,4,False
3,0,13.333333333333334,13,2,False
3,0,19.333333333333332,13,4,False
3,0,18.666666666666668,6,3,False
3,0,19.333333333333332,0,4,False
3,0,16.0,13,1,False
3,0,20.666666666666668,13,3,False
3,0,16.0,13,1,False
3,0,16.0,13,1,False
3,0,16.0,13,1,False
3,0,16.0,6,3,False
